Title of Conference,Acronym,Source,Rank
International Conference on Pervasive Computing (Joined with UbiComp from 2013),PERVASIVE,CORE2014,A*
International Conference on Information Systems,ICIS,CORE2018,A*
ACM Conference on Digital Libraries ,JCDL,CORE2018,A*
Robotics: Science and Systems,RSS,CORE2018,A*
IEEE Information Visualization Conference,IEEE InfoVis,CORE2020,A*
International Conference on Data Engineering,ICDE,CORE2023,A*
ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2023,A*
International Conference on Automated Planning and Scheduling,ICAPS,CORE2023,A*
Empirical Methods in Natural Language Processing,EMNLP,CORE2023,A*
IEEE International Conference on Robotics and Automation,ICRA,CORE2023,A*
National Conference of the American Association for Artificial Intelligence,AAAI,CORE2023,A*
"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,CORE2023,A*
Association for Computational Linguistics,ACL,CORE2023,A*
ACM Multimedia,ACMMM,CORE2023,A*
Automated Software Engineering Conference,ASE,CORE2023,A*
Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2023,A*
Computer Aided Verification,CAV,CORE2023,A*
ACM Conference on Computer and Communications Security,CCS,CORE2023,A*
International Conference on Human Factors in Computing Systems,CHI,CORE2023,A*
Conference on Learning Theory,COLT,CORE2023,A*
Advances in Cryptology,CRYPTO,CORE2023,A*
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,CORE2023,A*
ACM Conference on Economics and Computation,EC,CORE2023,A*
European Conference on Computer Vision,ECCV,CORE2023,A*
"European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering (duplicate was listed as ESEC, removed from DB)",ESEC/FSE,CORE2023,A*
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,CORE2023,A*
IEEE Symposium on Foundations of Computer Science,FOCS,CORE2023,A*
International Symposium on High Performance Computer Architecture,HPCA,CORE2023,A*
IEEE International Conference on Computer Vision,ICCV,CORE2023,A*
IEEE International Conference on Data Mining,ICDM,CORE2023,A*
International Conference on Learning Representations,ICLR,CORE2023,A*
International Conference on Machine Learning,ICML,CORE2023,A*
International Conference on Software Engineering,ICSE,CORE2023,A*
International Joint Conference on Artificial Intelligence,IJCAI,CORE2023,A*
IEEE International Conference on Computer Communications,INFOCOM,CORE2023,A*
Information Processing in Sensor Networks,IPSN,CORE2023,A*
ACM International Symposium on Computer Architecture,ISCA,CORE2023,A*
IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,CORE2023,A*
ACM International Conference on Knowledge Discovery and Data Mining,KDD,CORE2023,A*
International Conference on the Principles of Knowledge Representation and Reasoning,KR,CORE2023,A*
IEEE Symposium on Logic in Computer Science,LICS,CORE2023,A*
ACM International Conference on Mobile Computing and Networking,MOBICOM,CORE2023,A*
Usenix Network and Distributed System Security Symposium,NDSS,CORE2023,A*
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,CORE2023,A*
Usenix Symposium on Operating Systems Design and Implementation,OSDI,CORE2023,A*
IEEE International Conference on Pervasive Computing and Communications,PERCOM,CORE2023,A*
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,CORE2023,A*
ACM Symposium on Principles of Distributed Computing,PODC,CORE2023,A*
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,CORE2023,A*
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,CORE2023,A*
Real Time Systems Symposium,RTSS,CORE2023,A*
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2023,A*
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,CORE2023,A*
ACM International Conference on Research and Development in Information Retrieval,SIGIR,CORE2023,A*
Measurement and Modeling of Computer Systems,SIGMETRICS,CORE2023,A*
ACM Special Interest Group on Management of Data Conference,SIGMOD,CORE2023,A*
ACM/SIAM Symposium on Discrete Algorithms,SODA,CORE2023,A*
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,CORE2023,A*
IEEE Symposium on Security and Privacy,SP,CORE2023,A*
ACM Symposium on Theory of Computing,STOC,CORE2023,A*
ACM Symposium on User Interface Software and Technology,UIST,CORE2023,A*
Usenix Security Symposium,USENIX-Security,CORE2023,A*
International Conference on Very Large Databases,VLDB,CORE2023,A*
IEEE Conference on Virtual Reality and 3D User Interfaces,VR,CORE2023,A*
International World Wide Web Conference,WWW,CORE2023,A*
"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)",RAID,CORE2023,A
ACM International Conference on Recommender Systems,RecSys,CORE2023,A
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,CORE2023,A
"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,CORE2023,A
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,CORE2023,A
SIAM International Conference on Data Mining,SDM,CORE2023,A
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,CORE2023,A
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2023,A
Tools and Algorithms for Construction and Analysis of Systems,TACAS,CORE2023,A
Theoretical Aspects of Rationality and Knowledge,TARK,CORE2023,A
Theory of Cryptography Conference,TCC,CORE2023,A
Conference in Uncertainty in Artificial Intelligence,UAI,CORE2023,A
Usenix Annual Technical Conference,USENIX,CORE2023,A
IEEE Workshop on Applications of Computer Vision,WACV,CORE2023,A
International Conference on Logic Programming,ICLP,CORE2023,A
IEEE International Conference on Multimedia and Expo,ICME,CORE2023,A
"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,CORE2023,A
ACM International Conference on Supercomputing,ICS,CORE2023,A
International Conference on Software Architecture (was previously WICSA),ICSA,CORE2023,A
"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,CORE2023,A
International Conference on Service Oriented Computing,ICSOC,CORE2023,A
"International Conference on Software Testing, Verification and Validation",ICST,CORE2023,A
IEEE Visualization,IEEE VIS,CORE2023,A
International Joint Conference on Automated Reasoning,IJCAR,CORE2023,A
Internet Measurement Conference,IMC,CORE2023,A
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,CORE2023,A
