,Title,Year,Authors,Journal,Journal Acronym
0,Lightweight Hardware Accelerator for Post-Quantum Digital Signature CRYSTALS-Dilithium.,2023,"Naina Gupta, Arpan Jati, Anupam Chattopadhyay, Gautam Jha", 70: 3234-3243 ,tcasI
1,Pushing the Limits of Generic Side-Channel Attacks on LWE-based KEMs - Parallel PC Oracle Attacks on Kyber KEM and Beyond.,2023,"Gokulnath Rajendran, Prasanna Ravi, Jan-Pieter D'Anvers, Shivam Bhasin, Anupam Chattopadhyay", 2023: 418-446 ,tches
2,Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform.,2023,"Prasanna Ravi, Bolin Yang, Shivam Bhasin, Fan Zhang, Anupam Chattopadhyay", 2023: 447-481 ,tches
3,Hardware Trojan Detection using Transition Probability with Minimal Test Vectors.,2023,"Anindan Mondal, Shubrojyoti Karmakar, Mahabub Hasan Mahalat, Suchismita Roy, Bibhash Sen, Anupam Chattopadhyay", 22: 11:1-11:21 ,tecs
4,Hardware Security Primitives Using Passive RRAM Crossbar Array: Novel TRNG and PUF Designs.,2023,"Simranjeet Singh, Furqan Zahoor, Gokulnath Rajendran, Sachin B. Patkar, Anupam Chattopadhyay, Farhad Merchant", ASP-DAC 2023: 449-454,aspdac
5,Integrated Architecture for Neural Networks and Security Primitives using RRAM Crossbar.,2023,"Simranjeet Singh, Furqan Zahoor, Gokulnath Rajendran, Vikas Rana, Sachin B. Patkar, Anupam Chattopadhyay, Farhad Merchant", NEWCAS 2023: 1-5,newcas
6,A Higher Radix Architecture for Quantum Carry-lookahead Adder.,2023,"Siyi Wang, Anubhab Baksi, Anupam Chattopadhyay",02921 ,corr
7,Security and Privacy Issues for Urban Smart Traffic Infrastructure.,2023,"Anubhab Baksi, Ahmed Ibrahim Samir Khalil, Anupam Chattopadhyay",08429 ,corr
8,Integrated Architecture for Neural Networks and Security Primitives using RRAM Crossbar.,2023,"Simranjeet Singh, Furqan Zahoor, Gokulnath Rajendran, Vikas Rana, Sachin B. Patkar, Anupam Chattopadhyay, Farhad Merchant",13531 ,corr
9,DORCIS: Depth Optimized Quantum Implementation of Substitution Boxes.,2023,"Matthew Chun, Anubhab Baksi, Anupam Chattopadhyay", 2023: 286 ,iacr
10,AI Attacks AI: Recovering Neural Network architecture from NVDLA using AI-assisted Side Channel Attack.,2023,"Naina Gupta, Arpan Jati, Anupam Chattopadhyay", 2023: 368 ,iacr
11,Quantum Implementation of ASCON Linear Layer.,2023,"Soham Roy, Anubhab Baksi, Anupam Chattopadhyay", 2023: 617 ,iacr
12,Finding Desirable Substitution Box with SASQUATCH.,2023,"Manas Wadhwa, Anubhab Baksi, Kai Hu, Anupam Chattopadhyay, Takanori Isobe, Dhiman Saha", 2023: 742 ,iacr
