,Title,Year,Authors,Journal,Journal Acronym
0,UniS-MMC: Multimodal Classification via Unimodality-supervised Multimodal Contrastive Learning.,2023,"Heqing Zou, Meng Shen, Chen Chen, Yuchen Hu, Deepu Rajan, Eng Siong Chng", ACL  2023: 659-672,acl
1,UniS-MMC: Multimodal Classification via Unimodality-supervised Multimodal Contrastive Learning.,2023,"Heqing Zou, Meng Shen, Chen Chen, Yuchen Hu, Deepu Rajan, Eng Siong Chng",09299 ,corr
2,Towards Balanced Active Learning for Multimodal Classification.,2023,"Meng Shen, Yizheng Huang, Jianxiong Yin, Heqing Zou, Deepu Rajan, Simon See",08306 ,corr
3,A Unified Framework for Guiding Generative AI with Wireless Perception in Resource Constrained Mobile Edge Networks.,2023,"Jiacheng Wang, Hongyang Du, Dusit Niyato, Jiawen Kang, Zehui Xiong, Deepu Rajan, Shiwen Mao, Xuemin Shen",01426 ,corr
4,An embedded deep fuzzy association model for learning and explanation.,2022,"Xie Chen, Deepu Rajan, Dilip K. Prasad, Chai Quek", 131: 109738 ,asc
5,Smart interpretable model (SIM) enabling subject matter experts in rule generation.,2022,"Hotman Christianto, Gary Kee Khoon Lee, Weigui Jair Zhou, Henry Kasim, Deepu Rajan", 207: 117945 ,eswa
6,Speech Emotion Recognition with Co-Attention Based Multi-Level Acoustic Information.,2022,"Heqing Zou, Yuke Si, Chen Chen, Deepu Rajan, Eng Siong Chng", ICASSP 2022: 7367-7371,icassp
7,Speech Emotion Recognition with Co-Attention based Multi-level Acoustic Information.,2022,"Heqing Zou, Yuke Si, Chen Chen, Deepu Rajan, Eng Siong Chng",15326 ,corr
8,An interpretable Neural Fuzzy Hammerstein-Wiener network for stock price prediction.,2021,"Xie Chen, Deepu Rajan, Chai Quek", 577: 324-335 ,isci
9,Deep residual pooling network for texture recognition.,2021,"Shangbo Mao, Deepu Rajan, Liang-Tien Chia", 112: 107817 ,pr
10,An image similarity descriptor for classification tasks.,2020,"Liangliang Wang, Deepu Rajan", 71: 102847 ,jvcir
11,Saliency-based bit plane detection for network applications.,2020,"Maryam Asadzadeh Kaljahi, Palaiahnakote Shivakumara, Saqib Hakak, Mohd Yamani Idna Bin Idris, Mohammad Hossein Anisi, Deepu Rajan", 79: 18495-18513 ,mta
12,Are Object Detection Assessment Criteria Ready for Maritime Computer Vision?,2020,"Dilip K. Prasad, Huixu Dong, Deepu Rajan, Chai Quek", 21: 5295-5304 ,tits
13,A Deep Hybrid Fuzzy Neural Hammerstein-Wiener Network for Stock Price Prediction.,2020,"Xie Chen, Deepu Rajan, Chai Quek", ICAIIC 2020: 288-293,icaiic
