,Title,Year,Authors,Journal,Journal Acronym
0,A transformer-based deep neural network model for SSVEP classification.,2023,"Jianbo Chen, Yangsong Zhang, Yudong Pan, Peng Xu, Cuntai Guan", Neural Networks 164: 521-534 ,nn
1,E-Key: An EEG-Based Biometric Authentication and Driving Fatigue Detection System.,2023,"Tao Xu, Hongtao Wang, Guanyong Lu, Feng Wan, Mengqi Deng, Peng Qi, Anastasios Bezerianos, Cuntai Guan, Yu Sun", 14: 864-877 ,taffco
2,TSception: Capturing Temporal Dynamics and Spatial Asymmetry From EEG for Emotion Recognition.,2023,"Yi Ding, Neethu Robinson, Su Zhang, Qiuhao Zeng, Cuntai Guan", 14: 2238-2250 ,taffco
3,Quantifying Explainability of Saliency Methods in Deep Neural Networks With a Synthetic Dataset.,2023,"Erico Tjoa, Cuntai Guan", 4: 858-870 ,tai
4,Effects of Cognitive Distraction on Upper Limb Movement Decoding From EEG Signals.,2023,"Weijie Fei, Luzheng Bi, Jiarong Wang, Shengchao Xia, Xinan Fan, Cuntai Guan", 70: 166-174 ,tbe
5,Robust Bayesian Estimation of EEG-Based Brain Causality Networks.,2023,"Ke Liu, Qin Lai, Peiyang Li, Zhuliang Yu, Bin Xiao, Cuntai Guan, Wei Wu", 70: 1879-1890 ,tbe
6,OCTAve: 2D En Face Optical Coherence Tomography Angiography Vessel Segmentation in Weakly-Supervised Learning With Locality Augmentation.,2023,"Amrest Chinkamol, Vetit Kanjaras, Phattarapong Sawangjai, Yitian Zhao, Thapanun Sudhawiyangkul, Chantana Chantrapornchai, Cuntai Guan, Theerawit Wilaiprasitporn", 70: 1931-1942 ,tbe
7,ADAST: Attentive Cross-Domain EEG-Based Sleep Staging Framework With Iterative Self-Training.,2023,"Emadeldeen Eldele, Mohamed Ragab, Zhenghua Chen, Min Wu, Chee-Keong Kwoh, Xiaoli Li, Cuntai Guan", 7: 210-221 ,tetci
8,Video Based Cocktail Causal Container for Blood Pressure Classification and Blood Glucose Prediction.,2023,"Chuanhao Zhang, Emil Jovanov, Hongen Liao, Yuan-Ting Zhang, Benny Lo, Yuan Zhang, Cuntai Guan", Health Informatics 27: 1118-1128 ,titb
9,LE-UDA: Label-Efficient Unsupervised Domain Adaptation for Medical Image Segmentation.,2023,"Ziyuan Zhao, Fangcheng Zhou, Kaixin Xu, Zeng Zeng, Cuntai Guan, S. Kevin Zhou", Medical Imaging 42: 633-646 ,tmi
