,Title,Year,Authors,Journal,Journal Acronym
0,Robust and Accurate Feature Detection on Point Clouds.,2023,"Zheng Liu, Xiaopeng Xin, Zheng Xu, Weijie Zhou, Chunxue Wang, Renjie Chen, Ying He", 164: 103592 ,cad
1,Flattening-Net: Deep Regular 2D Representation for 3D Point Cloud Analysis.,2023,"Qijian Zhang, Junhui Hou, Yue Qian, Yiming Zeng, Juyong Zhang, Ying He", 45: 9726-9742 ,pami
2,Masonry Shell Structures with Discrete Equivalence Classes.,2023,"Rulin Chen, Pengyun Qiu, Peng Song, Bailin Deng, Ziqi Wang, Ying He", 42: 115:1-115:12 ,tog
3,STD-Net: Structure-Preserving and Topology-Adaptive Deformation Network for Single-View 3D Reconstruction.,2023,"Aihua Mao, Canglan Dai, Qing Liu, Jie Yang, Lin Gao, Ying He, Yong-Jin Liu", 29: 1785-1798 ,tvcg
4,A Variational Framework for Curve Shortening in Various Geometric Domains.,2023,"Na Yuan, Peihui Wang, Wenlong Meng, Shuang-Min Chen, Jian Xu, Shiqing Xin, Ying He, Wenping Wang", 29: 1951-1963 ,tvcg
5,OPE-SR: Orthogonal Position Encoding for Designing a Parameter-free Upsampling Module in Arbitrary-scale Image Super-Resolution.,2023,"Gaochao Song, Qian Sun, Luo Zhang, Ran Su, Jianfeng Shi, Ying He", CVPR 2023: 10009-10020,cvpr
6,IterativePFN: True Iterative Point Cloud Filtering.,2023,"Dasith de Silva Edirimuni, Xuequan Lu, Zhiwen Shao, Gang Li, Antonio Robles-Kelly, Ying He", CVPR 2023: 13530-13539,cvpr
7,OPE-SR: Orthogonal Position Encoding for Designing a Parameter-free Upsampling Module in Arbitrary-scale Image Super-Resolution.,2023,"Gaochao Song, Luo Zhang, Ran Su, Jianfeng Shi, Ying He, Qian Sun",01091 ,corr
8,NeUDF: Learning Unsigned Distance Fields from Multi-view Images for Reconstructing Non-watertight Models.,2023,"Fei Hou, Jukai Deng, Xuhui Chen, Wencheng Wang, Ying He",15368 ,corr
9,An Accuracy Controllable and Memory Efficient Method for Computing High-Quality Geodesic Distances on Triangle Meshes.,2022,"Yohanes Yudhi Adikusuma, Jie Du, Zheng Fang, Ying He", 150: 103333 ,cad
