,Title,Year,Authors,Journal,Journal Acronym
0,A universal transfer network for machinery fault diagnosis.,2023,"Xiaolei Yu, Zhibin Zhao, Xingwu Zhang, Shaohua Tian, Chee-Keong Kwoh, Xiaoli Li, Xuefeng Chen", 151: 103976 ,cii
1,Virulence network of interacting domains of influenza a and mouse proteins.,2023,"Teng Ann Ng, Shamima Rashid, Chee Keong Kwoh", 3 ,fbinf
2,Directed collaboration patterns in funded teams: A perspective of knowledge flow.,2023,"Bentao Zou, Yuefen Wang, Chee Keong Kwoh, Yonghua Cen", 60: 103237 ,ipm
3,ViPal: A framework for virulence prediction of influenza viruses with prior viral knowledge using genomic sequences.,2023,"Rui Yin, Zihan Luo, Pei Zhuang, Min Zeng, Min Li, Zhuoyi Lin, Chee Keong Kwoh", Informatics 142: 104388 ,jbi
4,Empirical Study of Protein Feature Representation on Deep Belief Networks Trained With Small Data for Secondary Structure Prediction.,2023,"Shamima Rashid, Suresh Sundaram, Chee Keong Kwoh", 20: 955-966 ,tcbb
5,ADAST: Attentive Cross-Domain EEG-Based Sleep Staging Framework With Iterative Self-Training.,2023,"Emadeldeen Eldele, Mohamed Ragab, Zhenghua Chen, Min Wu, Chee-Keong Kwoh, Xiaoli Li, Cuntai Guan", 7: 210-221 ,tetci
6,ADATIME: A Benchmarking Suite for Domain Adaptation on Time Series Data.,2023,"Mohamed Ragab, Emadeldeen Eldele, Wee Ling Tan, Chuan-Sheng Foo, Zhenghua Chen, Min Wu, Chee Keong Kwoh, Xiaoli Li", Data 17: 106:1-106:18 ,tkdd
7,Attention Over Self-Attention: Intention-Aware Re-Ranking With Dynamic Transformer Encoders for Recommendation.,2023,"Zhuoyi Lin, Sheng Zang, Rundong Wang, Zhu Sun, J. Senthilnath, Chi Xu, Chee Keong Kwoh", 35: 7782-7795 ,tkde
8,Label-efficient Time Series Representation Learning: A Review.,2023,"Emadeldeen Eldele, Mohamed Ragab, Zhenghua Chen, Min Wu, Chee Keong Kwoh, Xiaoli Li",06433 ,corr
9,Adaptive Stylization Modulation for Domain Generalized Semantic Segmentation.,2023,"Gabriel Tjio, Ping Liu, Chee-Keong Kwoh, Joey Tianyi Zhou",09347 ,corr
10,Generating Reliable Pixel-Level Labels for Source Free Domain Adaptation.,2023,"Gabriel Tjio, Ping Liu, Yawei Luo, Chee Keong Kwoh, Joey Tianyi Zhou",00893 ,corr
11,"Graph representation learning in bioinformatics: trends, methods and applications.",2022,"Hai-Cheng Yi, Zhu-Hong You, De-Shuang Huang, Chee Keong Kwoh", 23 ,bib
12,A framework for predicting variable-length epitopes of human-adapted viruses using machine learning methods.,2022,"Rui Yin, Xianghe Zhu, Min Zeng, Pengfei Wu, Min Li, Chee Keong Kwoh", 23 ,bib
13,Jupytope: computational extraction of structural properties of viral epitopes.,2022,"Shamima Rashid, Teng Ann Ng, Chee Keong Kwoh", 23 ,bib
14,Pre-training graph neural networks for link prediction in biomedical networks.,2022,"Yahui Long, Min Wu, Yong Liu, Yuan Fang, Chee Keong Kwoh, Jinmiao Chen, Jiawei Luo, Xiaoli Li", 38: 2254-2262 ,bioinformatics
15,An Efficient Multiresolution Clustering for Motif Discovery in Complex Networks.,2022,"Mahdi Pursalim, Kwoh Chee Keong", 19: 284-294 ,tcbb
16,IAV-CNN: A 2D Convolutional Neural Network Model to Predict Antigenic Variants of Influenza A Virus.,2022,"Rui Yin, Nyi Nyi Thwin, Pei Zhuang, Zhuoyi Lin, Chee Keong Kwoh", 19: 3497-3506 ,tcbb
17,Toward Multidiversified Ensemble Clustering of High-Dimensional Data: From Subspaces to Metrics and Beyond.,2022,"Dong Huang, Chang-Dong Wang, Jian-Huang Lai, Chee Keong Kwoh", 52: 12231-12244 ,tcyb
18,Conditional Contrastive Domain Generalization for Fault Diagnosis.,2022,"Mohamed Ragab, Zhenghua Chen, Wenyu Zhang, Emadeldeen Eldele, Min Wu, Chee Keong Kwoh, Xiaoli Li", 71: 1-12 ,tim
19,A heterogeneous graph cross-omics attention model for single-cell representation learning.,2022,"Yue Liu, Junfeng Zhang, Shulin Wang, Wei Zhang, Xiangxiang Zeng, Chee Keong Kwoh", BIBM 2022: 270-275,bibm
20,Rotating Machinery Fault Diagnosis Based on Multi-sensor Information Fusion Using Graph Attention Network.,2022,"Chenyang Li, Chee Keong Kwoh, Xiaoli Li, Lingfei Mo, Ruqiang Yan", ICARCV 2022: 678-683,icarcv
21,"IEEE Symposium Series on Computational Intelligence, SSCI 2022, Singapore, December 4-7, 2022.",2022,"Hisao Ishibuchi, Chee-Keong Kwoh, Ah-Hwee Tan, Dipti Srinivasan, Chunyan Miao, Anupam Trivedi, Keeley A. Crockett"," IEEE 2022, ISBN 978-1-6654-8768-9 ",ssci
22,Attention over Self-attention: Intention-aware Re-ranking with Dynamic Transformer Encoders for Recommendation.,2022,"Zhuoyi Lin, Sheng Zang, Rundong Wang, Zhu Sun, Chi Xu, Chee Keong Kwoh",05333 ,corr
