,Title,Year,Authors,Journal,Journal Acronym
0,Latency-constrained DNN architecture learning for edge systems using zerorized batch normalization.,2023,"Shuo Huai, Di Liu, Hao Kong, Weichen Liu, Ravi Subramaniam, Christian Makaya, Qian Lin", 142: 314-327 ,fgcs
1,SurgeNAS: A Comprehensive Surgery on Hardware-Aware Differentiable Neural Architecture Search.,2023,"Xiangzhong Luo, Di Liu, Hao Kong, Shuo Huai, Hui Chen, Weichen Liu", Computers 72: 1081-1094 ,tc
2,FAT: An In-Memory Accelerator With Fast Addition for Ternary Weight Neural Networks.,2023,"Shien Zhu, Luan H. K. Duong, Hui Chen, Di Liu, Weichen Liu", 42: 781-794 ,tcad
3,LightNAS: On Lightweight and Scalable Neural Architecture Search for Embedded Platforms.,2023,"Xiangzhong Luo, Di Liu, Hao Kong, Shuo Huai, Hui Chen, Weichen Liu", 42: 1784-1797 ,tcad
4,Crossbar-Aligned & Integer-Only Neural Network Compression for Efficient in-Memory Acceleration.,2023,"Shuo Huai, Di Liu, Xiangzhong Luo, Hui Chen, Weichen Liu, Ravi Subramaniam", ASP-DAC 2023: 234-239,aspdac
5,MUGNoC: A Software-Configured Multicast-Unicast-Gather NoC for Accelerating CNN Dataflows.,2023,"Hui Chen, Di Liu, Shiqing Li, Shuo Huai, Xiangzhong Luo, Weichen Liu", ASP-DAC 2023: 308-313,aspdac
6,Towards Efficient Convolutional Neural Network for Embedded Hardware via Multi-Dimensional Pruning.,2023,"Hao Kong, Di Liu, Xiangzhong Luo, Shuo Huai, Ravi Subramaniam, Christian Makaya, Qian Lin, Weichen Liu", DAC 2023: 1-6,dac
7,FIONA: Fine-grained Incoherent Optical DNN Accelerator Search for Superior Efficiency and Robustness.,2023,"Mengquan Li, Kenli Li, Mingfeng Lan, Jie Xiong, Zhuo Tang, Weichen Liu", DAC 2023: 1-6,dac
8,EMNAPE: Efficient Multi-Dimensional Neural Architecture Pruning for EdgeAI.,2023,"Hao Kong, Xiangzhong Luo, Shuo Huai, Di Liu, Ravi Subramaniam, Christian Makaya, Qian Lin, Weichen Liu", DATE 2023: 1-2,date
9,Accelerating Gustavson-based SpMM on Embedded FPGAs with Element-wise Parallelism and Access Pattern-aware Caches.,2023,"Shiqing Li, Weichen Liu", DATE 2023: 1-6,date
10,iMAT: Energy-Efficient In-Memory Acceleration for Ternary Neural Networks With Sparse Dot Product.,2023,"Shien Zhu, Shuo Huai, Guochu Xiong, Weichen Liu", ISLPED 2023: 1-6,islped
11,Evolutionary game-based incentive models for sustainable trust enhancement in a blockchained shared manufacturing network.,2022,"Fuqiang Zhang, Lei Wu, Weichen Liu, Kai Ding, Jizhuang Hui, Jiewu Leng, Xueliang Zhou", Informatics 54: 101791 ,aei
12,EDLAB: A Benchmark for Edge Deep Learning Accelerators.,2022,"Hao Kong, Shuo Huai, Di Liu, Lei Zhang, Hui Chen, Shien Zhu, Shiqing Li, Weichen Liu, Manu Rastogi, Ravi Subramaniam, Madhu Athreya, M. Anthony Lewis", Test 39: 8-17 ,dt
13,Bringing AI to edge: From deep learning's perspective.,2022,"Di Liu, Hao Kong, Xiangzhong Luo, Weichen Liu, Ravi Subramaniam", Neurocomputing 485: 297-320 ,ijon
14,Contention Minimization in Emerging SMART NoC via Direct and Indirect Routes.,2022,"Peng Chen, Hui Chen, Jun Zhou, Mengquan Li, Weichen Liu, Chunhua Xiao, Yiyuan Xie, Nan Guan", Computers 71: 1874-1888 ,tc
15,ArSMART: An Improved SMART NoC Design Supporting Arbitrary-Turn Transmission.,2022,"Hui Chen, Peng Chen, Jun Zhou, Luan H. K. Duong, Weichen Liu", 41: 1316-1329 ,tcad
16,Designing Efficient DNNs via Hardware-Aware Neural Architecture Search and Beyond.,2022,"Xiangzhong Luo, Di Liu, Shuo Huai, Hao Kong, Hui Chen, Weichen Liu", 41: 1799-1812 ,tcad
17,CARTAD: Compiler-Assisted Reinforcement Learning for Thermal-Aware Task Scheduling and DVFS on Multicores.,2022,"Di Liu, Shi-Gui Yang, Zhenli He, Mingxiong Zhao, Weichen Liu", 41: 1813-1826 ,tcad
18,Locking Protocols for Parallel Real-Time Tasks With Semaphores Under Federated Scheduling.,2022,"Yang Wang, Xu Jiang, Nan Guan, Yue Tang, Weichen Liu", 41: 2877-2890 ,tcad
19,Toward Minimum WCRT Bound for DAG Tasks Under Prioritized List Scheduling Algorithms.,2022,"Shuangshuang Chang, Ran Bi, Jinghao Sun, Weichen Liu, Qi Yu, Qingxu Deng, Zonghua Gu", 41: 3874-3885 ,tcad
20,Fast and Low Overhead Metadata Operations for NVM-Based File System Using Slotted Paging.,2022,"Fangzhu Lin, Chunhua Xiao, Weichen Liu, Lin Wu, Chen Shi, Kun Ning", 41: 4481-4491 ,tcad
21,LAMP: Load-Balanced Multipath Parallel Transmission in Point-to-Point NoCs.,2022,"Hui Chen, Peng Chen, Xiangzhong Luo, Shuo Huai, Weichen Liu", 41: 5232-5245 ,tcad
22,Solving Dynamic Multiobjective Problem via Autoencoding Evolutionary Search.,2022,"Liang Feng, Wei Zhou, Weichen Liu, Yew-Soon Ong, Kay Chen Tan", 52: 2649-2662 ,tcyb
23,"TAB: Unified and Optimized Ternary, Binary, and Mixed-precision Neural Network Inference on the Edge.",2022,"Shien Zhu, Luan H. K. Duong, Weichen Liu", 21: 50:1-50:26 ,tecs
24,HACScale: Hardware-Aware Compound Scaling for Resource-Efficient DNNs.,2022,"Hao Kong, Di Liu, Xiangzhong Luo, Weichen Liu, Ravi Subramaniam", ASP-DAC 2022: 708-713,aspdac
25,Work-in-Progress: What to Expect of Early Training Statistics? An Investigation on Hardware-Aware Neural Architecture Search.,2022,"Xiangzhong Luo, Di Liu, Hao Kong, Shuo Huai, Hui Chen, Weichen Liu", CODES+ISSS 2022: 1-2,codesisss
26,You only search once: on lightweight differentiable architecture search for resource-constrained embedded platforms.,2022,"Xiangzhong Luo, Di Liu, Hao Kong, Shuo Huai, Hui Chen, Weichen Liu", DAC 2022: 475-480,dac
27,iMAD: An In-Memory Accelerator for AdderNet with Efficient 8-bit Addition and Subtraction Operations.,2022,"Shien Zhu, Shiqing Li, Weichen Liu", ACM Great Lakes Symposium on VLSI 2022: 65-70,glvlsi
28,Smart Scissor: Coupling Spatial Redundancy Reduction and CNN Compression for Embedded Hardware.,2022,"Hao Kong, Di Liu, Shuo Huai, Xiangzhong Luo, Weichen Liu, Ravi Subramaniam, Christian Makaya, Qian Lin", ICCAD 2022: 109:1-109:9,iccad
29,A DirectX-Based DICOM Viewer for Multi-user Surgical Planning in Augmented Reality.,2022,"Menghe Zhang, Weichen Liu, Nadir Weibel, Jürgen P. Schulze", ISVC  2022: 217-228,isvc
30,The Virtual-Augmented Reality Simulator: Evaluating OST-HMD AR calibration algorithms in VR.,2022,"Danilo Gasques, Weichen Liu, Nadir Weibel", VR Workshops 2022: 702-703,vr
31,FAT: An In-Memory Accelerator with Fast Addition for Ternary Weight Neural Networks.,2022,"Shien Zhu, Luan H. K. Duong, Hui Chen, Di Liu, Weichen Liu",07634 ,corr
32,You Only Search Once: On Lightweight Differentiable Architecture Search for Resource-Constrained Embedded Platforms.,2022,"Xiangzhong Luo, Di Liu, Hao Kong, Shuo Huai, Hui Chen, Weichen Liu",14446 ,corr
33,A DirectX-Based DICOM Viewer for Multi-User Surgical Planning in Augmented Reality.,2022,"Menghe Zhang, Weichen Liu, Nadir Weibel, Jürgen P. Schulze",14349 ,corr
34,Attack Mitigation of Hardware Trojans for Thermal Sensing via Micro-ring Resonator in Optical NoCs.,2021,"Jun Zhou, Mengquan Li, Pengxing Guo, Weichen Liu", 17: 31:1-31:23 ,jetc
35,On the Analysis of Parallel Real-Time Tasks With Spin Locks.,2021,"Xu Jiang, Nan Guan, He Du, Weichen Liu, Wang Yi", Computers 70: 199-211 ,tc
