,Title,Year,Authors,Journal,Journal Acronym
0,Investigating Pose Representations and Motion Contexts Modeling for 3D Motion Prediction.,2023,"Zhenguang Liu, Shuang Wu, Shuyuan Jin, Shouling Ji, Qi Liu, Shijian Lu, Li Cheng", 45: 681-697 ,pami
1,Unsupervised Point Cloud Representation Learning With Deep Neural Networks: A Survey.,2023,"Aoran Xiao, Jiaxing Huang, Dayan Guan, Xiaoqin Zhang, Shijian Lu, Ling Shao", 45: 11321-11339 ,pami
2,Meta-DETR: Image-Level Few-Shot Detection With Inter-Class Correlation Exploitation.,2023,"Gongjie Zhang, Zhipeng Luo, Kaiwen Cui, Shijian Lu, Eric P. Xing", 45: 12832-12843 ,pami
3,Image-to-Character-to-Word Transformers for Accurate Scene Text Recognition.,2023,"Chuhui Xue, Jiaxing Huang, Wenqing Zhang, Shijian Lu, Changhu Wang, Song Bai", 45: 12908-12921 ,pami
4,Audio-driven talking face generation with diverse yet realistic facial animations.,2023,"Rongliang Wu, Yingchen Yu, Fangneng Zhan, Jiahui Zhang, Xiaoqin Zhang, Shijian Lu", 144: 109865 ,pr
5,Cross-Domain Facial Expression Recognition via Contrastive Warm up and Complexity-Aware Self-Training.,2023,"Yingjian Li, Jiaxing Huang, Shijian Lu, Zheng Zhang, Guangming Lu", 32: 5438-5450 ,tip
6,Learning Disentangled Representation Implicitly Via Transformer for Occluded Person Re-Identification.,2023,"Mengxi Jia, Xinhua Cheng, Shijian Lu, Jian Zhang", 25: 1294-1305 ,tmm
7,Class-Independent Regularization for Learning with Noisy Labels.,2023,"Rumeng Yi, Dayan Guan, Yaping Huang, Shijian Lu", AAAI 2023: 3276-3284,aaai
8,Face Transformer: Towards High Fidelity and Accurate Face Swapping.,2023,"Kaiwen Cui, Rongliang Wu, Fangneng Zhan, Shijian Lu", CVPR Workshops 2023: 668-677,cvpr
9,KD-DLGAN: Data Limited Image Generation via Knowledge Distillation.,2023,"Kaiwen Cui, Yingchen Yu, Fangneng Zhan, Shengcai Liao, Shijian Lu, Eric P. Xing", CVPR 2023: 3872-3882,cvpr
10,Towards Efficient Use of Multi-Scale Features in Transformer-Based Object Detectors.,2023,"Gongjie Zhang, Zhipeng Luo, Zichen Tian, Jingyi Zhang, Xiaoqin Zhang, Shijian Lu", CVPR 2023: 6206-6216,cvpr
11,StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields.,2023,"Kunhao Liu, Fangneng Zhan, Yiwen Chen, Jiahui Zhang, Yingchen Yu, Abdulmotaleb El-Saddik, Shijian Lu, Eric P. Xing", CVPR 2023: 8338-8348,cvpr
