,Title,Year,Authors,Journal,Journal Acronym
0,Clustered Task-Aware Meta-Learning by Learning From Learning Paths.,2023,"Danni Peng, Sinno Jialin Pan", 45: 9426-9438 ,pami
1,Bidirectional Generative Framework for Cross-domain Aspect-based Sentiment Analysis.,2023,"Yue Deng, Wenxuan Zhang, Sinno Jialin Pan, Lidong Bing", ACL  2023: 12272-12285,acl
2,Distribution-Regularized Federated Learning on Non-IID Data.,2023,"Yansheng Wang, Yongxin Tong, Zimu Zhou, Ruisheng Zhang, Sinno Jialin Pan, Lixin Fan, Qiang Yang", ICDE 2023: 2113-2125,icde
3,Pruning via Sparsity-indexed ODE: a Continuous Sparsity Viewpoint.,2023,"Zhanfeng Mo, Haosen Shi, Sinno Jialin Pan", ICML 2023: 25018-25036,icml
4,"Trustworthy Machine Learning: Robustness, Generalization, and Interpretability.",2023,"Jindong Wang, Haoliang Li, Haohan Wang, Sinno Jialin Pan, Xing Xie", KDD 2023: 5827-5828,kdd
5,A Tutorial on Domain Generalization.,2023,"Jindong Wang, Haoliang Li, Sinno Jialin Pan, Xing Xie", WSDM 2023: 1236-1239,wsdm
6,Bidirectional Generative Framework for Cross-domain Aspect-based Sentiment Analysis.,2023,"Yue Deng, Wenxuan Zhang, Sinno Jialin Pan, Lidong Bing",09509 ,corr
7,Sentiment Analysis in the Era of Large Language Models: A Reality Check.,2023,"Wenxuan Zhang, Yue Deng, Bing Liu, Sinno Jialin Pan, Lidong Bing",15005 ,corr
8,Semantic-Discriminative Mixup for Generalizable Sensor-based Cross-domain Activity Recognition.,2022,"Wang Lu, Jindong Wang, Yiqiang Chen, Sinno Jialin Pan, Chunyu Hu, Xin Qin", 6: 65:1-65:19 ,imwut
9,On Acceleration for Convex Composite Minimization with Noise-Corrupted Gradients and Approximate Proximal Mapping.,2022,"Qiang Zhou, Sinno Jialin Pan", 23: 223:1-223:59 ,jmlr
10,Deep Inductive Logic Reasoning for Multi-Hop Reading Comprehension.,2022,"Wenya Wang, Sinno Jialin Pan", ACL  2022: 4999-5009,acl
11,Learning Generalizable Representations for Reinforcement Learning via Adaptive Meta-learner of Behavioral Similarities.,2022,"Jianda Chen, Sinno Jialin Pan", ICLR 2022,iclr
12,Modeling Trajectories with Multi-task Learning.,2022,"Kaijun Liu, Sijie Ruan, Qianxiong Xu, Cheng Long, Nan Xiao, Nan Hu, Liang Yu, Sinno Jialin Pan", MDM 2022: 208-213,mdm
13,Domain Confused Contrastive Learning for Unsupervised Domain Adaptation.,2022,"Quanyu Long, Tianze Luo, Wenya Wang, Sinno Jialin Pan", NAACL-HLT 2022: 2982-2995,naacl
14,Learning Representations via a Robust Behavioral Metric for Deep Reinforcement Learning.,2022,"Jianda Chen, Sinno Jialin Pan", NeurIPS 2022,nips
15,Convergence Analysis of Linear Coupling with Inexact Proximal Operator.,2022,"Qiang Zhou, Sinno Jialin Pan", UAI 2022: 2394-2403,uai
