,Title,Year,Authors,Journal,Journal Acronym
0,A Mixed Lubrication Model for Predicting the Lubrication Performance Degradation Behavior of Slipper Pair in Early Wear Failure.,2023,"Siyuan Liu, Ziang Li, Wen Sun, Chao Ai, Weizhe Zhang, Yongqiang Zhang, Zilong Chen", IEEE Access 11: 100479-100494 ,access
1,Abstraction-Based Verification of Approximate Preopacity for Control Systems.,2023,"Junyao Hou, Siyuan Liu, Xiang Yin, Majid Zamani", 7: 1087-1092 ,csysl
2,Behavioral Propagation Based on Passionate Psychology on Single Networks with Limited Contact.,2023,"Siyuan Liu, Yang Tian, Xuzhen Zhu", Entropy 25: 303 ,entropy
3,Towards Generating Hop-constrained s-t Simple Path Graphs.,2023,"Yuzheng Cai, Siyuan Liu, Weiguo Zheng, Xuemin Lin", Data 1: 61:1-61:26 ,pacmmod
4,Multi-Dimensional Spread Target Detection with Across Range-Doppler Unit Phenomenon Based on Generalized Radon-Fourier Transform.,2023,"Guanxing Wang, Yangkai Wei, Zegang Ding, Pengjie You, Siyuan Liu, Tianyi Zhang", 15: 2158 ,remotesensing
5,Circle-Net: An Unsupervised Lightweight-Attention Cyclic Network for Hyperspectral and Multispectral Image Fusion.,2023,"Shuaiqi Liu, Siyu Miao, Siyuan Liu, Bing Li, Weiming Hu, Yu-Dong Zhang", 16: 4499-4515 ,staeors
6,Research on Visual Measurement of Aperture and Hole Group Center Distance Based on Geometric Constraint.,2023,"Chunfeng Li, Xiping Xu, Zhen Ren, Siyuan Liu", Symmetry 15: 1255 ,symmetry
7,A Parametric 3-D ISAR Imaging Method of Celestial Target Under Low SNR.,2023,"Zegang Ding, Guanxing Wang, Tianyi Zhang, Siyuan Liu, Yangkai Wei, Tao Zeng", 61: 1-18 ,tgrs
8,CasFlow: Exploring Hierarchical Structures and Propagation Uncertainty for Cascade Prediction.,2023,"Xovee Xu, Fan Zhou, Kunpeng Zhang, Siyuan Liu, Goce Trajcevski", 35: 3484-3499 ,tkde
9,CCGL: Contrastive Cascade Graph Learning.,2023,"Xovee Xu, Fan Zhou, Kunpeng Zhang, Siyuan Liu", 35: 4539-4554 ,tkde
10,Semi-Supervised Anomaly Detection Via Neural Process.,2023,"Fan Zhou, Guanyu Wang, Kunpeng Zhang, Siyuan Liu, Ting Zhong", 35: 10423-10435 ,tkde
11,Counterfactual Graph Learning for Anomaly Detection on Attributed Networks.,2023,"Chunjing Xiao, Xovee Xu, Yue Lei, Kunpeng Zhang, Siyuan Liu, Fan Zhou", 35: 10540-10553 ,tkde
12,BEQAIN: An Effective and Efficient Identifier Normalization Approach With BERT and the Question Answering System.,2023,"Jingxuan Zhang, Siyuan Liu, Lina Gong, Haoxiang Zhang, Zhiqiu Huang, He Jiang", 49: 2597-2620 ,tse
13,MeshDeform: Surface Reconstruction of Subcortical Structures via Human Brain MRI.,2023,"Junjie Zhao, Siyuan Liu, Sahar Ahmad, Pew-Thian Yap", IPMI 2023: 536-547,ipmi
14,SurfFlow: A Flow-Based Approach for Rapid and Accurate Cortical Surface Reconstruction from Infant Brain MRI.,2023,"Xiaoyang Chen, Junjie Zhao, Siyuan Liu, Sahar Ahmad, Pew-Thian Yap", MICCAI  2023: 380-388,miccai
15,Brain Tissue Segmentation Across the Human Lifespan via Supervised Contrastive Learning.,2023,"Xiaoyang Chen, Jinjian Wu, Wenjiao Lyu, Yicheng Zou, Kim-Han Thung, Siyuan Liu, Ye Wu, Sahar Ahmad, Pew-Thian Yap",01369 ,corr
16,Addressing Class Variable Imbalance in Federated Semi-supervised Learning.,2023,"Zehui Dong, Wenjing Liu, Siyuan Liu, Xingzhi Chen",11809 ,corr
17,Towards Generating Hop-constrained s-t Simple Path Graphs.,2023,"Yuzheng Cai, Siyuan Liu, Weiguo Zheng, Xuemin Lin",12656 ,corr
18,Secure-by-Construction Synthesis for Control Systems.,2023,"Bingzhuo Zhong, Siyuan Liu, Marco Caccamo, Majid Zamani",02564 ,corr
19,Controller Synthesis of Collaborative Signal Temporal Logic Tasks for Multi-Agent Systems via Assume-Guarantee Contracts.,2023,"Siyuan Liu, Adnane Saoud, Dimos V. Dimarogonas",13499 ,corr
20,Secure-by-Construction Synthesis of Cyber-Physical Systems.,2022,Siyuan Liu," Technical University of Munich, Germany, 2022",
21,A Miniature Flexible Coil for High-SNR MRI of the Pituitary Gland.,2022,"Jiahao Lin, Siyuan Liu, Marvin Bergsneider, J. Rock Hadley, Giyarpuram N. Prashant, Sophie Peeters, Robert N. Candler, Kyung Hyun Sung", IEEE Access 10: 12619-12628 ,access
22,Secure-by-construction synthesis of cyber-physical systems.,2022,"Siyuan Liu, Ashutosh Trivedi, Xiang Yin, Majid Zamani", 53: 30-50 ,arc
23,Improved drug-target interaction prediction with intermolecular graph transformer.,2022,"Siyuan Liu, Yusong Wang, Yifan Deng, Liang He, Bin Shao, Jian Yin, Nanning Zheng, Tie-Yan Liu, Tong Wang", 23 ,bib
24,Modular Verification of Opacity for Interconnected Control Systems via Barrier Certificates.,2022,"Shadi Tasdighi Kalat, Siyuan Liu, Majid Zamani", 6: 890-895 ,csysl
25,Intelligent fault diagnosis of rolling bearing based on wavelet transform and improved ResNet under noisy labels and environment.,2022,"Pengfei Liang, Wenhui Wang, Xiaoming Yuan, Siyuan Liu, Lijie Zhang, Yiwei Cheng", 115: 105269 ,eaai
26,Toward Robust Monitoring of Malicious Outbreaks.,2022,"Shaojie Tang, Siyuan Liu, Xu Han, Yu Qiao", 34: 1257-1271 ,informs
27,Unsupervised Learning for Human Mobility Behaviors.,2022,"Siyuan Liu, Shaojie Tang, Jiangchuan Zheng, Lionel M. Ni", 34: 1565-1586 ,informs
28,"The ""self-bad, partner-worse"" strategy inhibits cooperation in networked populations.",2022,"Chunyan Zhang, Siyuan Liu, Zhijie Wang, Franz J. Weissing, Jianlei Zhang", 585: 58-69 ,isci
29,Geometric Auto-Calibration of SAR Images Utilizing Constraints of Symmetric Geometry.,2022,"Kai Xu, Siyuan Liu, Ziyi Wang, Guo Zhang, Yingying Li, Bocai Wu", 19: 1-5 ,lgrs
30,A Simple Statistical Intra-Seasonal Prediction Model for Sea Surface Variables Utilizing Satellite Remote Sensing.,2022,"Qi Shao, Yanling Zhao, Wei Li, Guijun Han, Guangchao Hou, Chaoliang Li, Siyuan Liu, Yantian Gong, Hanyu Liu, Ping Qu", 14: 1162 ,remotesensing
31,Temporal and Spatial Characteristics of the Global Skylight Polarization Vector Field.,2022,"Lei Yan, Yanfei Li, Wei Chen, Yi Lin, Feizhou Zhang, Taixia Wu, Jouni Peltoniemi, Hongying Zhao, Siyuan Liu, Zihan Zhang", 14: 2193 ,remotesensing
32,Expandable On-Board Real-Time Edge Computing Architecture for Luojia3 Intelligent Remote Sensing Satellite.,2022,"Zhiqi Zhang, Zhuo Qu, Siyuan Liu, Dehua Li, Jinshan Cao, Guangqi Xie", 14: 3596 ,remotesensing
