,Title,Year,Authors,Journal,Journal Acronym
0,Asking Clarifying Questions: To benefit or to disturb users in Web search?,2023,"Jie Zou, Aixin Sun, Cheng Long, Mohammad Aliannejadi, Evangelos Kanoulas", 60: 103176 ,ipm
1,EDU-Capsule: aspect-based sentiment analysis at clause level.,2023,"Ting Lin, Aixin Sun, Yequan Wang", 65: 517-541 ,kais
2,Temporal Sentence Grounding in Videos: A Survey and Future Directions.,2023,"Hao Zhang, Aixin Sun, Wei Jing, Joey Tianyi Zhou", 45: 10443-10465 ,pami
3,Generative Adversarial Reward Learning for Generalized Behavior Tendency Inference.,2023,"Xiaocong Chen, Lina Yao, Xianzhi Wang, Aixin Sun, Quan Z. Sheng", 35: 9878-9889 ,tkde
4,A Critical Study on Data Leakage in Recommender System Offline Evaluation.,2023,"Yitong Ji, Aixin Sun, Jie Zhang, Chenliang Li", 41: 75:1-75:27 ,tois
5,MS-DETR: Natural Language Video Localization with Sampling Moment-Moment Interaction.,2023,"Wang Jing, Aixin Sun, Hao Zhang, Xiaoli Li", ACL  2023: 1387-1400,acl
6,Negation Scope Refinement via Boundary Shift Loss.,2023,"Yin Wu, Aixin Sun", ACL  2023: 6090-6099,acl
7,Take a Break in the Middle: Investigating Subgoals towards Hierarchical Script Generation.,2023,"Xinze Li, Yixin Cao, Muhao Chen, Aixin Sun", ACL  2023: 10129-10147,acl
8,A Synthetic Data Generation Framework for Grounded Dialogues.,2023,"Jianzhu Bao, Rui Wang, Yasheng Wang, Aixin Sun, Yitong Li, Fei Mi, Ruifeng Xu", ACL  2023: 10866-10882,acl
9,Few-shot Event Detection: An Empirical Study and a Unified View.,2023,"Yubo Ma, Zehao Wang, Yixin Cao, Aixin Sun", ACL  2023: 11211-11236,acl
10,Dipping PLMs Sauce: Bridging Structure and Text for Effective Knowledge Graph Completion via Conditional Soft Prompting.,2023,"Chen Chen, Yufei Wang, Aixin Sun, Bing Li, Kwok-Yan Lam", ACL  2023: 11489-11503,acl
11,A Survey on Deep Learning for Named Entity Recognition : Extended Abstract.,2023,"Jing Li, Aixin Sun, Jianglei Han, Chenliang Li", ICDE 2023: 3817-3818,icde
12,A Study on Transformer Configuration and Training Objective.,2023,"Fuzhao Xue, Jianghai Chen, Aixin Sun, Xiaozhe Ren, Zangwei Zheng, Xiaoxin He, Yongming Chen, Xin Jiang, Yang You", ICML 2023: 38913-38925,icml
13,On Challenges of Evaluating Recommender Systems in an Offline Setting.,2023,Aixin Sun, RecSys 2023: 1284-1285,recsys
14,A Preference Learning Decoupling Framework for User Cold-Start Recommendation.,2023,"Chunyang Wang, Yanmin Zhu, Aixin Sun, Zhaobo Wang, Ke Wang", SIGIR 2023: 1168-1177,sigir
15,Take a Fresh Look at Recommender Systems from an Evaluation Standpoint.,2023,Aixin Sun, SIGIR 2023: 2629-2638,sigir
16,DOCoR: Document-level OpenIE with Coreference Resolution.,2023,"Shan Jie Yong, Kuicai Dong, Aixin Sun", WSDM 2023: 1204-1207,wsdm
17,"Large Language Model Is Not a Good Few-shot Information Extractor, but a Good Reranker for Hard Samples!",2023,"Yubo Ma, Yixin Cao, YongChing Hong, Aixin Sun",08559 ,corr
