,Title,Year,Authors,Journal,Journal Acronym
0,A multi-source data-driven model of lake water level based on variational modal decomposition and external factors with optimized bi-directional long short-term memory neural network.,2023,"Rui Tan, Yuan Hu, Zhaocai Wang", 167: 105766 ,envsoft
1,TouchKey: Touch to Generate Symmetric Keys by Skin Electric Potentials Induced by Powerline Radiation.,2023,"Yuchen Miao, Chaojie Gu, Zhenyu Yan, Sze Yiu Chau, Rui Tan, Qi Lin, Wen Hu, Shibo He, Jiming Chen", 7: 70:1-70:21 ,imwut
2,"Correction to ""Privacy-Preserving Blockchain-Based Federated Learning for IoT Devices"".",2023,"Yang Zhao, Jun Zhao, Linshan Jiang, Rui Tan, Dusit Niyato, Zengxiang Li, Lingjuan Lyu, Yingbo Liu", 10: 973 ,iotj
3,Identification of Rubber Plantations in Southwestern China Based on Multi-Source Remote Sensing Data and Phenology Windows.,2023,"Guokun Chen, Zicheng Liu, Qingke Wen, Rui Tan, Yiwen Wang, Jingjing Zhao, Junxin Feng", 15: 1228 ,remotesensing
4,Touch-to-Access Device Authentication For Indoor Smart Objects.,2023,"Zhenyu Yan, Qun Song, Rui Tan", 22: 1185-1197 ,tmc
5,Configuration-Adaptive Wireless Visual Sensing System With Deep Reinforcement Learning.,2023,"Siyuan Zhou, Duc Van Le, Rui Tan, Joy Qiping Yang, Daren Ho", 22: 5078-5091 ,tmc
6,Physics-directed Data Augmentation for Deep Model Transfer to Specific Sensor.,2023,"Wenjie Luo, Zhenyu Yan, Qun Song, Rui Tan", Networks 19: 21:1-21:30 ,tosn
7,LMAC: Efficient Carrier-Sense Multiple Access for LoRa.,2023,"Amalinda Gamage, Jansen Christian Liando, Chaojie Gu, Rui Tan, Mo Li, Olivier Seller", Networks 19: 44:1-44:27 ,tosn
8,Towards Efficient Personalized Driver Behavior Modeling with Machine Unlearning.,2023,"Qun Song, Rui Tan, Jianping Wang", CPS-IoT Week Workshops 2023: 31-36,cpsweek
9,Physics-Informed Machine Learning Model Generalization in AIoT: Opportunites and Challenges.,2023,"Rui Tan, Wenjie Luo", CPS-IoT Week Workshops 2023: 170-176,cpsweek
10,Susceptibility of Autonomous Driving Agents to Learning-Based Action-Space Attacks.,2023,"Yuting Wu, Xin Lou, Pengfei Zhou, Rui Tan, Zbigniew T. Kalbarczyk, Ravishankar K. Iyer", DSN-W 2023: 76-83,dsn
11,Phyllis: Physics-Informed Lifelong Reinforcement Learning for Data Center Cooling Control.,2023,"Ruihang Wang, Zhiwei Cao, Xin Zhou, Yonggang Wen, Rui Tan", e-Energy 2023: 114-126,eenergy
12,BubCam: A Vision System for Automated Quality Inspection at Manufacturing Lines.,2023,"Jiale Chen, Duc Van Le, Rui Tan, Daren Ho", ICCPS 2023: 12-21,iccps
