,Title,Year,Authors,Journal,Journal Acronym
0,Multiple Cooperative Attackers for Tag-Based Physical Layer Authentication.,2023,"Yufeng Cai, Wenya Wang, Yicong Chen, Haijun Tan, Ning Xie, Jiangzhou Wang", 61: 165-171 ,cm
1,Elaboration-Generating Commonsense Question Answering at Scale.,2023,"Wenya Wang, Vivek Srikumar, Hannaneh Hajishirzi, Noah A. Smith", ACL  2023: 1619-1635,acl
2,Interpretable Multimodal Misinformation Detection with Logic Reasoning.,2023,"Hui Liu, Wenya Wang, Haoliang Li", ACL  2023: 9781-9796,acl
3,Design and Implementation of Campus Surveillance System Based on ZLMediaKit.,2023,"Wenya Wang, Runyu Zhao, Jie Mei, Kan Zheng", ICALT 2023: 356-358,icalt
4,Vera: A General-Purpose Plausibility Estimation Model for Commonsense Statements.,2023,"Jiacheng Liu, Wenya Wang, Dianzhuo Wang, Noah A. Smith, Yejin Choi, Hannaneh Hajishirzi",03695 ,corr
5,Interpretable Multimodal Misinformation Detection with Logic Reasoning.,2023,"Hui Liu, Wenya Wang, Haoliang Li",05964 ,corr
6,HODOR: Shrinking Attack Surface on Node.js via System Call Limitation.,2023,"Wenya Wang, Xingwei Lin, Jingyi Wang, Wang Gao, Dawu Gu, Wei Lv, Jiashui Wang",13984 ,corr
7,Predicting the potential human lncRNA-miRNA interactions based on graph convolution network with conditional random field.,2022,"Wenya Wang, Li Zhang, Jianqiang Sun, Qi Zhao, Jianwei Shuai", 23 ,bib
8,Confidentiality-Preserving Edge-Based Wireless Communications for Contact Tracing Systems.,2022,"Ning Xie, Wenya Wang, Yicong Chen, Peichang Zhang, Lei Huang", 40: 3152-3171 ,jsac
9,Weakly Supervised Domain Adaptation for Aspect Extraction via Multilevel Interaction Transfer.,2022,"Tao Liang, Wenya Wang, Fengmao Lv", 33: 5818-5829 ,tnn
10,Deep Inductive Logic Reasoning for Multi-Hop Reading Comprehension.,2022,"Wenya Wang, Sinno Jialin Pan", ACL  2022: 4999-5009,acl
11,Towards Multi-Modal Sarcasm Detection via Hierarchical Congruity Modeling with Knowledge Enhancement.,2022,"Hui Liu, Wenya Wang, Haoliang Li", EMNLP 2022: 4995-5006,emnlp
12,Domain Confused Contrastive Learning for Unsupervised Domain Adaptation.,2022,"Quanyu Long, Tianze Luo, Wenya Wang, Sinno Jialin Pan", NAACL-HLT 2022: 2982-2995,naacl
13,Domain Confused Contrastive Learning for Unsupervised Domain Adaptation.,2022,"Quanyu Long, Tianze Luo, Wenya Wang, Sinno Jialin Pan",04564 ,corr
14,Elaboration-Generating Commonsense Question Answering at Scale.,2022,"Wenya Wang, Vivek Srikumar, Hanna Hajishirzi, Noah A. Smith",01232 ,corr
15,Towards Multi-Modal Sarcasm Detection via Hierarchical Congruity Modeling with Knowledge Enhancement.,2022,"Hui Liu, Wenya Wang, Haoliang Li",03501 ,corr
16,Variational Deep Logic Network for Joint Inference of Entities and Relations.,2021,"Wenya Wang, Sinno Jialin Pan", Linguistics 47: 775-812 ,coling
17,Network Intrusion Detection Algorithm Combined with Group Convolution Network and Snapshot Ensemble.,2021,"Aili Wang, Wenya Wang, Huaming Zhou, Jian Zhang", Symmetry 13: 1814 ,symmetry
18,Re-Check Your Certificates! Experiences and Lessons Learnt from Real-World HTTPS Certificate Deployments.,2021,"Wenya Wang, Yakang Li, Chao Wang, Yuan Yan, Juanru Li, Dawu Gu", NSS 2021: 17-37,nss
19,Network Intrusion Detection Combined Hybrid Sampling With Deep Hierarchical Network.,2020,"Kaiyuan Jiang, Wenya Wang, Aili Wang, Haibin Wu", IEEE Access 8: 32464-32476 ,access
20,Integrating Deep Learning with Logic Fusion for Information Extraction.,2020,"Wenya Wang, Sinno Jialin Pan", AAAI 2020: 9225-9232,aaai
21,Deep Weighted MaxSAT for Aspect-based Opinion Extraction.,2020,"Meixi Wu, Wenya Wang, Sinno Jialin Pan", EMNLP  2020: 5618-5628,emnlp
22,Weakly-supervised Domain Adaption for Aspect Extraction via Multi-level Interaction Transfer.,2020,"Tao Liang, Wenya Wang, Fengmao Lv",09235 ,corr
