,Title,Year,Authors,Journal,Journal Acronym
0,Digital-Twin Consistency Checking Based on Observed Timed Events With Unobservable Transitions in Smart Manufacturing.,2023,"Moon Gi Seok, Wen Jun Tan, Wentong Cai, Daejin Park", Informatics 19: 6208-6219 ,tii
1,Crowd-Level Abnormal Behavior Detection via Multi-Scale Motion Consistency Learning.,2023,"Linbo Luo, Yuanjing Li, Haiyan Yin, Shangwei Xie, Ruimin Hu, Wentong Cai", AAAI 2023: 8984-8992,aaai
2,Minimising Task Tardiness for Multi-Agent Pickup and Delivery.,2023,"Saravanan Ramanathan, Yihao Liu, Xueyan Tang, Wentong Cai, Jingning Li", AAMAS 2023: 2349-2351,atal
3,Characterization of Pedestrian Contact Interaction Trajectories.,2023,"Jaeyoung Kwak, Michael Harold Lees, Wentong Cai", ICCS  2023: 18-32,iccS
4,Towards a Performance-Aware Partitioning Algorithm for Cloud-Based Microscopic Vehicle Traffic Simulations.,2023,"Anibal Siguenza-Torres, Wentong Cai, Alois Knoll", SIGSIM-PADS 2023: 44-45,pads
5,Equipment-centric Data-driven Reliability Assessment of Complex Manufacturing Systems.,2023,"Jonas Friederich, Wentong Cai, Boon Ping Gan, Sanja Lazarova-Molnar", SIGSIM-PADS 2023: 62-72,pads
6,Automatic Model Generation and Data Assimilation Framework for Cyber-Physical Production Systems.,2023,"Wen Jun Tan, Moon Gi Seok, Wentong Cai", SIGSIM-PADS 2023: 73-83,pads
7,Research on the collaboration of service selection and resource scheduling for IoT simulation workflows.,2022,"Feng Li, T. Warren Liao, Wentong Cai", Informatics 52: 101528 ,aei
8,E2T-CVL: An Efficient and Error-Tolerant Approach for Collaborative Vehicle Localization.,2022,"Xiangting Hou, Linbo Luo, Wentong Cai, Bin Guo", 9: 3481-3494 ,iotj
9,A wholistic optimization of containerized workflow scheduling and deployment in the cloud-edge environment.,2022,"Feng Li, Wen Jun Tan, Wentong Cai", Theory 118: 102521 ,simpra
10,Distribution-Based Weights Estimation for Map Matching Algorithms.,2022,"Xiangting Hou, Linbo Luo, Wentong Cai", 16: 4256-4266 ,sj
11,Why They Escape: Mining Prioritized Fuzzy Decision Rule in Crowd Evacuation.,2022,"Linbo Luo, Baodan Zhang, Bin Guo, Jinghui Zhong, Wentong Cai", 23: 19456-19470 ,tits
12,Data-driven Crowd Modeling Techniques: A Survey.,2022,"Jinghui Zhong, Dongrui Li, Zhixing Huang, Chengyu Lu, Wentong Cai", 32: 4:1-4:33 ,tomacs
13,Dynamic Data-driven Microscopic Traffic Simulation using Jointly Trained Physics-guided Long Short-Term Memory.,2022,"Htet Naing, Wentong Cai, Nan Hu, Tiantian Wu, Liang Yu", 32: 28:1-28:27 ,tomacs
14,"SPIDER: An Effective, Efficient and Robust Load Scheduler for Real-time Split Frame Rendering.",2022,"Bingzheng Ma, Ziqiang Zhang, Yusen Li, Wentong Cai, Gang Wang, Xiaoguang Liu", IPDPS 2022: 672-682,ipps
15,Dynamic Car-following Model Calibration with Deep Reinforcement Learning.,2022,"Htet Naing, Wentong Cai, Tiantian Wu, Liang Yu", ITSC 2022: 959-966,itsc
16,"Improving Scalability, Sustainability and Availability via Workload Distribution in Edge-Cloud Gaming.",2022,"Iryanto Jaya, Yusen Li, Wentong Cai", ACM Multimedia 2022: 2987-2995,mm
17,A Data-Driven Approach for Pedestrian Intention Prediction in Large Public Places.,2022,"Bo Zhang, Jinghui Zhong, Wentong Cai", SIGSIM-PADS 2022: 33-36,pads
18,Hyperparameter Tunning in Simulation-based Optimization for Adaptive Digital-Twin Abstraction Control of Smart Manufacturing System.,2022,"Moon Gi Seok, Wen Jun Tan, Boyi Su, Wentong Cai", SIGSIM-PADS 2022: 61-68,pads
19,Advanced Tutorial: Parallel and Distributed Methods for Scalable Discrete Simulation.,2022,"Philipp Andelfinger, Wentong Cai", WSC 2022: 268-282,wsc
20,Simulation-Based Analysis of Evacuation Elevator Allocation for a Multi-Level Hospital Emergency Department.,2022,"Boyi Su, Jaeyoung Kwak, Ahmad Reza Pourghaderi, Michael Harold Lees, Kenneth B. K. Tan, Shin Yi Loo, Ivan S. Y. Chua, Joy L. J. Quah, Wentong Cai, Marcus Eng Hock Ong", WSC 2022: 358-369,wsc
21,Forecasting with Visibility Using Privacy Preserving Federated Learning.,2022,"Bo Zhang, Wen Jun Tan, Wentong Cai, Allan N. Zhang", WSC 2022: 2687-2698,wsc
22,Multi-objective Optimization of Clustering-based Scheduling for Multi-workflow On Clouds Considering Fairness.,2022,"Feng Li, Wen Jun Tan, Wentong Cai",11173 ,corr
23,Crowd-level Abnormal Behavior Detection via Multi-scale Motion Consistency Learning.,2022,"Linbo Luo, Yuanjing Li, Haiyan Yin, Shangwei Xie, Ruimin Hu, Wentong Cai",00501 ,corr
24,Computer Science Methods for Effective and Sustainable Simulation Studies (Dagstuhl Seminar 22401).,2022,"Wentong Cai, Christopher D. Carothers, David M. Nicol, Adelinde M. Uhrmacher", Dagstuhl Reports 12: 1-60 ,dagstuhl-reports
25,Hierarchical Aggregation/Disaggregation for Adaptive Abstraction-Level Conversion in Digital Twin-Based Smart Semiconductor Manufacturing.,2021,"Moon Gi Seok, Wentong Cai, Daejin Park", IEEE Access 9: 71145-71158 ,access
