,Title,Year,Authors,Journal,Journal Acronym
0,CAreFL: Enhancing smart healthcare with Contribution-Aware Federated Learning.,2023,"Zelei Liu, Yuanyuan Chen, Yansong Zhao, Han Yu, Yang Liu, Renyi Bao, Jinpeng Jiang, Zaiqing Nie, Qian Xu, Qiang Yang", 44: 4-15 ,aim
1,Intelligent online selling point extraction and generation for e-commerce recommendation.,2023,"Xiaojie Guo, Shugen Wang, Hanqing Zhao, Shiliang Diao, Jiajia Chen, Zhuoye Ding, Zhen He, Jianchao Lu, Yun Xiao, Bo Long, Han Yu, Lingfei Wu", 44: 16-29 ,aim
2,Automatic product copywriting for e-commerce.,2023,"Yanyan Zou, Xueying Zhang, Jing Zhou, Shiliang Diao, Jiajia Chen, Zhuoye Ding, Zhen He, Xueqi He, Yun Xiao, Bo Long, Mian Ma, Sulong Xu, Han Yu, Lingfei Wu", 44: 41-53 ,aim
3,EFedDSA: An Efficient Differential Privacy-Based Horizontal Federated Learning Approach for Smart Grid Dynamic Security Assessment.,2023,"Chao Ren, Tianjing Wang, Han Yu, Yan Xu, Zhao Yang Dong", 13: 817-828 ,esticas
4,Temporal Density-aware Sequential Recommendation Networks with Contrastive Learning.,2023,"Jihu Wang, Yuliang Shi, Han Yu, Kun Zhang, Xinjun Wang, Zhongmin Yan, Hui Li", 211: 118563 ,eswa
5,KLECA: knowledge-level-evolution and category-aware personalized knowledge recommendation.,2023,"Lin Cheng, Yuliang Shi, Lin Li, Han Yu, Xinjun Wang, Zhongmin Yan", 65: 1045-1065 ,kais
6,A multimodal approach for improving market price estimation in online advertising.,2023,"Tengyun Wang, Haizhi Yang, Yang Liu, Han Yu, Hengjie Song", 266: 110392 ,kbs
7,Bayesian Co-evolutionary Optimization based entropy search for high-dimensional many-objective optimization.,2023,"Hongli Bian, Jie Tian, Jialiang Yu, Han Yu", 274: 110630 ,kbs
8,A novel KG-based recommendation model via relation-aware attentional GCN.,2023,"Jihu Wang, Yuliang Shi, Han Yu, Zhongmin Yan, Hui Li, Zhenjie Chen", 275: 110702 ,kbs
9,Securing Federated Learning: A Covert Communication-Based Approach.,2023,"Yuan-Ai Xie, Jiawen Kang, Dusit Niyato, Nguyen Thi Thanh Van, Nguyen Cong Luong, Zhixin Liu, Han Yu", 37: 118-124 ,network
10,Capsule neural tensor networks with multi-aspect information for Few-shot Knowledge Graph Completion.,2023,"Qianyu Li, Jiale Yao, Xiaoli Tang, Han Yu, Siyu Jiang, Haizhi Yang, Hengjie Song", Neural Networks 164: 323-334 ,nn
11,Dynamically Optimizing Display Advertising Profits Under Diverse Budget Settings.,2023,"Haizhi Yang, Tengyun Wang, Xiaoli Tang, Han Yu, Fei Liu, Hengjie Song", 35: 362-376 ,tkde
