,Title,Year,Authors,Journal,Journal Acronym
0,Teacher-apprentices RL (TARL): leveraging complex policy distribution through generative adversarial hypernetwork in reinforcement learning.,2023,"Shi Yuan Tang, Athirai A. Irissappane, Frans A. Oliehoek, Jie Zhang", 37: 25 ,aamas
1,DaisyRec 2.0: Benchmarking Recommendation for Rigorous Evaluation.,2023,"Zhu Sun, Hui Fang, Jie Yang, Xinghua Qu, Hongyang Liu, Di Yu, Yew-Soon Ong, Jie Zhang", 45: 8206-8226 ,pami
2,Learning to Solve 3-D Bin Packing Problem via Deep Reinforcement Learning and Constraint Programming.,2023,"Yuan Jiang, Zhiguang Cao, Jie Zhang", 53: 2864-2875 ,tcyb
3,A Deep Reinforcement Learning Recommender System With Multiple Policies for Recommendations.,2023,"Mingsheng Fu, Liwei Huang, Ananya Rao, Athirai A. Irissappane, Jie Zhang, Hong Qu", Informatics 19: 2049-2061 ,tii
4,Learning to Solve Multiple-TSP With Time Window and Rejections via Deep Reinforcement Learning.,2023,"Rongkai Zhang, Cong Zhang, Zhiguang Cao, Wen Song, Puay Siew Tan, Jie Zhang, Bihan Wen, Justin Dauwels", 24: 1325-1336 ,tits
5,Dynamic Opinion Maximization in Social Networks.,2023,"Qiang He, Hui Fang, Jie Zhang, Xingwei Wang", 35: 350-361 ,tkde
6,Learning Large Neighborhood Search for Vehicle Routing in Airport Ground Handling.,2023,"Jianan Zhou, Yaoxin Wu, Zhiguang Cao, Wen Song, Jie Zhang, Zhenghua Chen", 35: 9769-9782 ,tkde
7,A Critical Study on Data Leakage in Recommender System Offline Evaluation.,2023,"Yitong Ji, Aixin Sun, Jie Zhang, Chenliang Li", 41: 75:1-75:27 ,tois
8,A Semi-Centralized Trust Management Model Based on Blockchain for Data Exchange in IoT System.,2023,"Yuan Liu, Chuang Zhang, Yu Yan, Xin Zhou, Zhihong Tian, Jie Zhang", 16: 858-871 ,tsc
9,Reinforcement Learning Enhanced Weighted Sampling for Accurate Subgraph Counting on Fully Dynamic Graph Streams.,2023,"Kaixin Wang, Cheng Long, Da Yan, Jie Zhang, H. V. Jagadish", ICDE 2023: 1084-1097,icde
10,Disentangling Motives behind Item Consumption and Social Connection for Mutually-enhanced Joint Prediction.,2023,"Youchen Sun, Zhu Sun, Xiao Sha, Jie Zhang, Yew Soon Ong", RecSys 2023: 613-624,recsys
11,Multi-view graph contrastive learning for solving vehicle routing problems.,2023,"Yuan Jiang, Zhiguang Cao, Yaoxin Wu, Jie Zhang", UAI 2023: 984-994,uai
12,WSDM 2023 Workshop on Interactive Recommender Systems.,2023,"Yong Liu, Hao Zhang, Zhu Sun, Shoujin Wang, Jie Zhang", WSDM 2023: 1275-1276,wsdm
13,"Proceedings of the 17th ACM Conference on Recommender Systems, RecSys 2023, Singapore, Singapore, September 18-22, 2023.",2023,"Jie Zhang, Li Chen, Shlomo Berkovsky, Min Zhang, Tommaso Di Noia, Justin Basilico, Luiz Pizzato, Yang Song", ACM 2023 ,recsys
14,Learning Large Neighborhood Search for Vehicle Routing in Airport Ground Handling.,2023,"Jianan Zhou, Yaoxin Wu, Zhiguang Cao, Wen Song, Jie Zhang, Zhenghua Chen",13797 ,corr
15,Neural Airport Ground Handling.,2023,"Yaoxin Wu, Jianan Zhou, Yunwen Xia, Xianli Zhang, Zhiguang Cao, Jie Zhang",02442 ,corr
16,Retraining A Graph-based Recommender with Interests Disentanglement.,2023,"Yitong Ji, Aixin Sun, Jie Zhang",03624 ,corr
17,Towards Omni-generalizable Neural Methods for Vehicle Routing Problems.,2023,"Jianan Zhou, Yaoxin Wu, Wen Song, Zhiguang Cao, Jie Zhang",19587 ,corr
18,Our Model Achieves Excellent Performance on MovieLens: What Does it Mean?,2023,"Yu-chen Fan, Yitong Ji, Jie Zhang, Aixin Sun",09985 ,corr
19,Integrating social influence modeling and user modeling for trust prediction in signed networks.,2022,"Hui Fang, Xiaoming Li, Jie Zhang", 302: 103628 ,ai
20,A sub-action aided deep reinforcement learning framework for latency-sensitive network slicing.,2022,"Da Xiao, Shuo Chen, Wei Ni, Jie Zhang, Jian (Andrew) Zhang, Ren Ping Liu", Networks 217: 109279 ,cn
21,Learning variable ordering heuristics for solving Constraint Satisfaction Problems.,2022,"Wen Song, Zhiguang Cao, Jie Zhang, Chi Xu, Andrew Lim", 109: 104603 ,eaai
22,ACDC: Online unsupervised cross-domain adaptation.,2022,"Marcus de Carvalho, Mahardhika Pratama, Jie Zhang, Edward Kien Yee Yapp", 253: 109486 ,kbs
23,Disentangling Multi-Facet Social Relations for Recommendation.,2022,"Xiao Sha, Zhu Sun, Jie Zhang", 9: 867-878 ,tcss
24,TriATNE: Tripartite Adversarial Training for Network Embeddings.,2022,"Qi-dong Liu, Cheng Long, Jie Zhang, Mingliang Xu, Pei Lv", 52: 9634-9645 ,tcyb
25,Deep Reinforcement Learning Framework for Category-Based Item Recommendation.,2022,"Mingsheng Fu, Anubha Agrawal, Athirai A. Irissappane, Jie Zhang, Liwei Huang, Hong Qu", 52: 12028-12041 ,tcyb
26,Deep Reinforcement Learning for Solving the Heterogeneous Capacitated Vehicle Routing Problem.,2022,"Jingwen Li, Yining Ma, Ruize Gao, Zhiguang Cao, Andrew Lim, Wen Song, Jie Zhang", 52: 13572-13585 ,tcyb
27,Heterogeneous Attentions for Solving Pickup and Delivery Problem via Deep Reinforcement Learning.,2022,"Jingwen Li, Liang Xin, Zhiguang Cao, Andrew Lim, Wen Song, Jie Zhang", 23: 2306-2315 ,tits
28,GP3: Gaussian Process Path Planning for Reliable Shortest Path in Transportation Networks.,2022,"Hongliang Guo, Xuejie Hou, Zhiguang Cao, Jie Zhang", 23: 11575-11590 ,tits
29,Point-of-Interest Recommendation for Users-Businesses With Uncertain Check-ins.,2022,"Zhu Sun, Chen Li, Yu Lei, Lu Zhang, Jie Zhang, Shunpan Liang", 34: 5925-5938 ,tkde
30,Learning Improvement Heuristics for Solving Routing Problems.,2022,"Yaoxin Wu, Wen Song, Zhiguang Cao, Jie Zhang, Andrew Lim", 33: 5057-5069 ,tnn
31,VRepChain: A Decentralized and Privacy-Preserving Reputation System for Social Internet of Vehicles Based on Blockchain.,2022,"Yuan Liu, Zehui Xiong, Qin Hu, Dusit Niyato, Jie Zhang, Chunyan Miao, Cyril Leung, Zhihong Tian", 71: 13242-13253 ,tvt
32,Learning to Solve Routing Problems via Distributionally Robust Optimization.,2022,"Yuan Jiang, Yaoxin Wu, Zhiguang Cao, Jie Zhang", AAAI 2022: 9786-9794,aaai
33,Learning Scenario Representation for Solving Two-stage Stochastic Integer Programs.,2022,"Yaoxin Wu, Wen Song, Zhiguang Cao, Jie Zhang", ICLR 2022,iclr
34,Do Loyal Users Enjoy Better Recommendations?: Understanding Recommender Accuracy from a Time Perspective.,2022,"Yitong Ji, Aixin Sun, Jie Zhang, Chenliang Li", ICTIR 2022: 92-97,ictir
35,Next Point-of-Interest Recommendation with Inferring Multi-step Future Preferences.,2022,"Lu Zhang, Zhu Sun, Ziqing Wu, Jie Zhang, Yew Soon Ong, Xinghua Qu", IJCAI 2022: 3751-3757,ijcai
36,Graph Learning Assisted Multi-Objective Integer Programming.,2022,"Yaoxin Wu, Wen Song, Zhiguang Cao, Jie Zhang, Abhishek Gupta, Mingyan Lin", NeurIPS 2022,nips
