,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Classification of Travel Patterns Including Wandering Based on Bi-directional Long Short-Term Memory Networks.,2021,"Nhu Khue Vuong, Yong Liu, Syin Chan, Chiew Tong Lau, Zhenghua Chen, Min Wu, Xiaoli Li",Generalization with Deep Learning 2021: 279-301,COLLECTIONS,
1,Deep learning with long short-term memory networks for classification of dementia related travel patterns.,2020,"Nhu Khue Vuong, Yong Liu, Syin Chan, Chiew Tong Lau, Zhenghua Chen, Min Wu, Xiaoli Li",EMBC 2020: 5563-5566,EMBC,
2,A Framework of Real-time Wandering Management for Person with Dementia.,2017,"Ashish Kumar, Maode Ma, Chiew Tong Lau, Syin Chan",ICCMS 2017: 146-150,ICCMS,
3,A unified grid-based wandering pattern detection algorithm.,2016,"Ashish Kumar, Chiew Tong Lau, Syin Chan, Maode Ma, William D. Kearns",EMBC 2016: 5401-5404,EMBC,
4,A Channel Allocation Based Self-Coexistence Scheme for Homogeneous Ad-Hoc Networks.,2015,"Vishram Mishra, Chiew Tong Lau, Syin Chan",IEEE Wirel. Commun. Lett. 4: 545-548 ,WCL,
5,Preliminary results of using inertial sensors to detect dementia- related wandering patterns.,2015,"Nhu Khue Vuong, Syin Chan, Chiew Tong Lau, Stephen Yew Wei Chan, Philip Lin Kiat Yap, S. H. Annabel Chen",EMBC 2015: 3703-3706,EMBC,
6,TQCR-media access control: two-level quality of service provisioning media access control protocol for cognitive radio network.,2014,"Vishram Mishra, Chiew Tong Lau, Syin Chan, Jimson Mathew",IET Networks 3: 74-81 ,IET-NET,
7,iBEST: Intelligent balance assessment and stability training system using smartphone.,2014,"Aung Aung Phyo Wai, Pham Duy Duc, Syin Chan, Haihong Zhang",EMBC 2014: 3683-3686,EMBC,
8,Energy Aware Spectrum Decision Framework for Cognitive Radio Network: A Spectrum Decision Framework for Cognitive Radio Network with Energy Awareness.,2013,"Vishram Mishra, Chiew Tong Lau, Syin Chan, Jimson Mathew",J. Low Power Electron. 9: 313-321 ,JOLPE,
9,Reconfigurable Channel Selection Technique for Cognitive Radio Network With Heterogeneous Primary Bands.,2013,"Vishram Mishra, Chiew Tong Lau, Syin Chan",IEEE Trans. Veh. Technol. 62: 3942-3952 ,TVT,
10,Distributed contention based MAC protocol for cognitive radio networks with QoS provisioning.,2013,"Vishram Mishra, Chiew Tong Lau, Syin Chan",ICON 2013: 1-6,ICON,
11,QoS provisioning self co-existence protocol for cognitive radio ad-hoc networks.,2013,"Vishram Mishra, Chiew Tong Lau, Syin Chan",ICON 2013: 1-6,ICON,
12,A QoS provisioning MAC protocol for Cognitive Radio Network.,2013,"Vishram Mishra, Chiew Tong Lau, Syin Chan",ICSPCS 2013: 1-8,ICSPCS,
13,QoS based spectrum decision framework for cognitive radio networks.,2012,"Vishram Mishra, Chiew Tong Lau, Syin Chan",ICON 2012: 18-23,ICON,
14,Energy Aware Spectrum Decision Framework for Cognitive Radio Networks.,2012,"Vishram Mishra, Chiew Tong Lau, Syin Chan, Ashish Kumar",ISED 2012: 309-313,ISED,
15,MAC Protocol for Two Level QoS Support in Cognitive Radio Network.,2011,"Vishram Mishra, Chiew Tong Lau, Syin Chan, Jimson Mathew",ISED 2011: 296-301,ISED,
16,Feasibility study of a real-time wandering detection algorithm for dementia patients.,2011,"Nhu Khue Vuong, Syin Chan, Chiew Tong Lau, K. M. Lau",MobileHealth@MobiHoc 2011: 11,MOBIHOC,A
17,Motion Context: A New Representation for Human Action Recognition.,2008,"Ziming Zhang, Yiqun Hu, Syin Chan, Liang-Tien Chia",ECCV  2008: 817-829,ECCV,A*
18,Discriminative Signatures for Image Classification.,2007,"Ziming Zhang, Syin Chan, Liang-Tien Chia",ICIP  2007: 197-200,ICIP,B
19,Codebook+: A New Module for Creating Discriminative Codebooks.,2007,"Ziming Zhang, Syin Chan, Liang-Tien Chia",ICME 2007: 815-818,ICMCS,
20,Image classification using tensor representation.,2007,"Ziming Zhang, Syin Chan, Liang-Tien Chia",ACM Multimedia 2007: 281-284,MM,
21,Semantic Knowledge Building for Image Database by Analyzing Web Page Contents.,2005,"Yung-Kwang Lai, Song Liu, Liang-Tien Chia, Syin Chan",ICME 2005: 1282-1285,ICMCS,
22,Sentiment-based search in digital libraries.,2005,"Jin-Cheon Na, Christopher S. G. Khoo, Syin Chan, Norraihan Bte Hamzah",JCDL 2005: 143-144,JCDL,
23,Ontology for Nature-Scene Image Retrieval.,2004,"Song Liu, Liang-Tien Chia, Syin Chan",CoopIS/DOA/ODBASE  2004: 1050-1061,COOPIS,
24,Semantic Analysis of Basketball Video Using Motion Information.,2004,"Song Liu, Haoran Yi, Liang-Tien Chia, Deepu Rajan, Syin Chan",PCM  2004: 65-72,PCM,
25,Extracting Causal Knowledge from a Medical Database Using Graphical Patterns.,2000,"Christopher S. G. Khoo, Syin Chan, Yun Niu",ACL 2000: 336-343,ACL,A*
26,Motion tracking of human mouth by generalized deformable models.,1999,"Syin Chan, Chong-Wah Ngo, Kok F. Lai",Pattern Recognit. Lett. 20: 879-887 ,PRL,
