,Title,Year,Authors,Journal,Journal Acronym
0,Semi-Supervised and Long-Tailed Object Detection with CascadeMatch.,2023,"Yuhang Zang, Kaiyang Zhou, Chen Huang, Chen Change Loy", 131: 987-1001 ,ijcv
1,Semi-Supervised Domain Generalization with Stochastic StyleMatch.,2023,"Kaiyang Zhou, Chen Change Loy, Ziwei Liu", 131: 2377-2387 ,ijcv
2,GLEAN: Generative Latent Bank for Image Super-Resolution and Beyond.,2023,"Kelvin C. K. Chan, Xiangyu Xu, Xintao Wang, Jinwei Gu, Chen Change Loy", 45: 3154-3168 ,pami
3,Domain Generalization: A Survey.,2023,"Kaiyang Zhou, Ziwei Liu, Yu Qiao, Tao Xiang, Chen Change Loy", 45: 4396-4415 ,pami
4,Reference-Based Image and Video Super-Resolution via $C^{2}$-Matching.,2023,"Yuming Jiang, Kelvin C. K. Chan, Xintao Wang, Chen Change Loy, Ziwei Liu", 45: 8874-8887 ,pami
5,GP-UNIT: Generative Prior for Versatile Unsupervised Image-to-Image Translation.,2023,"Shuai Yang, Liming Jiang, Ziwei Liu, Chen Change Loy", 45: 11869-11883 ,pami
6,Computation-Efficient Knowledge Distillation via Uncertainty-Aware Mixup.,2023,"Guodong Xu, Ziwei Liu, Chen Change Loy", 138: 109338 ,pr
7,Audio-Driven Dubbing for User Generated Contents via Style-Aware Semi-Parametric Synthesis.,2023,"Linsen Song, Wayne Wu, Chaoyou Fu, Chen Change Loy, Ran He", 33: 1247-1261 ,tcsv
8,Exploring CLIP for Assessing the Look and Feel of Images.,2023,"Jianyi Wang, Kelvin C. K. Chan, Chen Change Loy", AAAI 2023: 2555-2563,aaai
9,FlexiCurve: Flexible Piecewise Curves Estimation for Photo Retouching.,2023,"Chongyi Li, Chunle Guo, Shangchen Zhou, Qiming Ai, Ruicheng Feng, Chen Change Loy", CVPR Workshops 2023: 1092-1101,cvpr
10,"BeautyREC: Robust, Efficient, and Component-Specific Makeup Transfer.",2023,"Qixin Yan, Chunle Guo, Jixin Zhao, Yuekun Dai, Chen Change Loy, Chongyi Li", CVPR Workshops 2023: 1102-1110,cvpr
