,Title,Year,Authors,Journal,Journal Acronym
0,Leveraging Modality-Specific Representations for Audio-Visual Speech Recognition via Reinforcement Learning.,2023,"Chen Chen, Yuchen Hu, Qiang Zhang, Heqing Zou, Beier Zhu, Eng Siong Chng", AAAI 2023: 12607-12615,aaai
1,"An Empirical Study on Punctuation Restoration for English, Mandarin, and Code-Switching Speech.",2023,"Changsong Liu, Thi-Nga Ho, Eng Siong Chng", ACIIDS  2023: 286-296,aciids
2,Adapting Code-Switching Language Models with Statistical-Based Text Augmentation.,2023,"Chaiyasait Prachaseree, Kshitij Gupta, Thi-Nga Ho, Yizhou Peng, Kyaw Zin Tun, Eng Siong Chng, G. S. S. Chalapthi", ACIIDS  2023: 310-322,aciids
3,UniS-MMC: Multimodal Classification via Unimodality-supervised Multimodal Contrastive Learning.,2023,"Heqing Zou, Meng Shen, Chen Chen, Yuchen Hu, Deepu Rajan, Eng Siong Chng", ACL  2023: 659-672,acl
4,MIR-GAN: Refining Frame-Level Modality-Invariant Representations with Adversarial Network for Audio-Visual Speech Recognition.,2023,"Yuchen Hu, Chen Chen, Ruizhe Li, Heqing Zou, Eng Siong Chng", ACL  2023: 11610-11625,acl
5,Hearing Lips in Noise: Universal Viseme-Phoneme Mapping and Transfer for Robust Audio-Visual Speech Recognition.,2023,"Yuchen Hu, Ruizhe Li, Chen Chen, Chengwei Qin, Qiu-Shi Zhu, Eng Siong Chng", ACL  2023: 15213-15232,acl
6,Cross-Modal Global Interaction and Local Alignment for Audio-Visual Speech Recognition.,2023,"Yuchen Hu, Ruizhe Li, Chen Chen, Heqing Zou, Qiushi Zhu, Eng Siong Chng", IJCAI 2023: 5076-5084,ijcai
7,Improved Keyword Recognition Based on Aho-Corasick Automaton.,2023,"Yachao Guo, Zhibin Qiu, Hao Huang, Chng Eng Siong", IJCNN 2023: 1-7,ijcnn
8,Local and Global Context Modeling with Relation Matching Task for Dialog Act Recognition.,2023,"Yuke Si, Yan Zhang, Yuhang Li, Xiaobao Wang, Longbiao Wang, Jianwu Dang, Eng Siong Chng, Haizhou Li", IJCNN 2023: 1-8,ijcnn
9,Leveraging Audio-Tagging Assisted Sound Event Detection using Weakified Strong Labels and Frequency Dynamic Convolutions.,2023,"Tanmay Khandelwal, Rohan Kumar Das, Andrew Koh, Eng Siong Chng", SSP 2023: 329-333,ssp
10,Improving Spoken Language Identification with Map-Mix.,2023,"Shangeth Rajaa, Kriti Anandan, Swaraj Dalmia, Tarun Gupta, Eng Siong Chng",08229 ,corr
11,Probabilistic Back-ends for Online Speaker Recognition and Clustering.,2023,"Alexey Sholokhov, Nikita Kuzmin, Kong Aik Lee, Eng Siong Chng",09523 ,corr
12,Unifying Speech Enhancement and Separation with Gradient Modulation for End-to-End Noise-Robust Speech Separation.,2023,"Yuchen Hu, Chen Chen, Heqing Zou, Xionghu Zhong, Eng Siong Chng",11131 ,corr
13,Gradient Remedy for Multi-Task Learning in End-to-End Noise-Robust Speech Recognition.,2023,"Yuchen Hu, Chen Chen, Ruizhe Li, Qiushi Zhu, Eng Siong Chng",11362 ,corr
14,Unsupervised Noise adaptation using Data Simulation.,2023,"Chen Chen, Yuchen Hu, Heqing Zou, Linhui Sun, Eng Siong Chng",11981 ,corr
15,Metric-oriented Speech Enhancement using Diffusion Probabilistic Model.,2023,"Chen Chen, Yuchen Hu, Weiwei Weng, Eng Siong Chng",11989 ,corr
16,deHuBERT: Disentangling Noise in a Self-supervised Model for Robust Speech Recognition.,2023,"Dianwen Ng, Ruixi Zhang, Jia Qi Yip, Zhao Yang, Jinjie Ni, Chong Zhang, Yukun Ma, Chongjia Ni, Eng Siong Chng, Bin Ma",14597 ,corr
17,Wav2code: Restore Clean Speech Representations via Codebook Lookup for Noise-Robust ASR.,2023,"Yuchen Hu, Chen Chen, Qiushi Zhu, Eng Siong Chng",04974 ,corr
18,Contrastive Speech Mixup for Low-resource Keyword Spotting.,2023,"Dianwen Ng, Ruixi Zhang, Jia Qi Yip, Chong Zhang, Yukun Ma, Trung Hieu Nguyen, Chongjia Ni, Eng Siong Chng, Bin Ma",01170 ,corr
19,Cross-Modal Global Interaction and Local Alignment for Audio-Visual Speech Recognition.,2023,"Yuchen Hu, Ruizhe Li, Chen Chen, Heqing Zou, Qiushi Zhu, Eng Siong Chng",09212 ,corr
