,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Blockchain Meets Metaverse and Digital Asset Management: A Comprehensive Survey.,2023,"Vu Tuan Truong, Long Bao Le, Dusit Niyato",IEEE Access 11: 26258-26288 ,ACCESS,
1,Incentive Mechanism Design for Mitigating Frontrunning and Transaction Reordering in Decentralized Exchanges.,2023,"Daniel Mawunyo Doe, Jing Li, Dusit Niyato, Li Wang, Zhu Han",IEEE Access 11: 96014-96028 ,ACCESS,
2,Slicing4Meta: An Intelligent Integration Architecture with Multi-Dimensional Network Resources for Metaverse-as-a-Service in Web 3.0.,2023,"Yi-Jing Liu, Hongyang Du, Dusit Niyato, Gang Feng, Jiawen Kang, Zehui Xiong",IEEE Commun. Mag. 61: 20-26 ,CM,
3,A Blockchain-Based Semantic Exchange Framework for Web 3.0 Toward Participatory Economy.,2023,"Yijing Lin, Zhipeng Gao, Yaofeng Tu, Hongyang Du, Dusit Niyato, Jiawen Kang, Hui Yang",IEEE Commun. Mag. 61: 94-100 ,CM,
4,"Semantic Communications for Future Internet: Fundamentals, Applications, and Challenges.",2023,"Wanting Yang, Hongyang Du, Zi Qin Liew, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xuefen Chi, Xuemin Shen, Chunyan Miao",IEEE Commun. Surv. Tutorials 25: 213-250 ,COMSUR,
5,"A Full Dive Into Realizing the Edge-Enabled Metaverse: Visions, Enabling Technologies, and Challenges.",2023,"Minrui Xu, Wei Chong Ng, Wei Yang Bryan Lim, Jiawen Kang, Zehui Xiong, Dusit Niyato, Qiang Yang, Xuemin Shen, Chunyan Miao",IEEE Commun. Surv. Tutorials 25: 656-700 ,COMSUR,
6,Editorial: First Quarter 2023 IEEE Communications Surveys and Tutorials.,2023,Dusit Niyato,IEEE Commun. Surv. Tutorials 25: i-vii ,COMSUR,
7,Editorial: Second Quarter 2023 IEEE Communications Surveys and Tutorials.,2023,Dusit Niyato,IEEE Commun. Surv. Tutorials 25: i-v ,COMSUR,
8,Editorial: Third Quarter 2023 IEEE Communications Surveys and Tutorials.,2023,Dusit Niyato,IEEE Commun. Surv. Tutorials 25: i-vi ,COMSUR,
9,"Joint Task Offloading, Resource Sharing and Computation Incentive for Edge Computing Networks.",2023,"Nan Zhao, Wei Du, Fan Ren, Yiyang Pei, Ying-Chang Liang, Dusit Niyato",IEEE Commun. Lett. 27: 258-262 ,ICL,
