,Title,Year,Authors,Journal,Journal Acronym
0,A survey on deep reinforcement learning for audio-based applications.,2023,"Siddique Latif, Heriberto Cuayáhuitl, Farrukh Pervez, Fahad Shamshad, Hafiz Shehbaz Ali, Erik Cambria", 56: 2193-2240 ,air
1,Recent advances in deep learning based dialogue systems: a systematic survey.,2023,"Jinjie Ni, Tom Young, Vlad Pandelea, Fuzhao Xue, Erik Cambria", 56: 3055-3155 ,air
2,A survey on syntactic processing techniques.,2023,"Xulang Zhang, Rui Mao, Erik Cambria", 56: 5645-5728 ,air
3,Survey on sentiment analysis: evolution of research methods and topics.,2023,"Jingfeng Cui, Zhaoxia Wang, Seng-Beng Ho, Erik Cambria", 56: 8469-8510 ,air
4,Time expression recognition and normalization: a survey.,2023,"Xiaoshi Zhong, Erik Cambria", 56: 9115-9140 ,air
5,A Mixed Approach for Aggressive Political Discourse Analysis on Twitter.,2023,"Javier Torregrosa, Sergio D'Antonio-Maceiras, Guillermo Villar-Rodríguez, Amir Hussain, Erik Cambria, David Camacho", 15: 440-465 ,cogcom
6,Learning-Based Stock Trending Prediction by Incorporating Technical Indicators and Social Media Sentiment.,2023,"Zhaoxia Wang, Zhenda Hu, Fang Li, Seng-Beng Ho, Erik Cambria", 15: 1092-1102 ,cogcom
7,Enhancing Arabic-text feature extraction utilizing label-semantic augmentation in few/zero-shot learning.,2023,"Seham Basabain, Erik Cambria, Khalid Alomar, Amir Hussain", 40 ,es
8,Virtual prompt pre-training for prototype-based few-shot relation extraction.,2023,"Kai He, Yucheng Huang, Rui Mao, Tieliang Gong, Chen Li, Erik Cambria", 213: 118927 ,eswa
9,Will Affective Computing Emerge From Foundation Models and General Artificial Intelligence? A First Evaluation of ChatGPT.,2023,"Mostafa M. Amin, Erik Cambria, Björn W. Schuller", 38: 15-23 ,expert
10,Can ChatGPT's Responses Boost Traditional Natural Language Processing?,2023,"Mostafa M. Amin, Erik Cambria, Björn W. Schuller", 38: 5-11 ,expert
11,A Hotel Ranking Model Through Online Reviews With Aspect-Based Sentiment Analysis.,2023,"Tian-Hui You, Ling Ling Tao, Erik Cambria", 22: 89-113 ,ijitdm
12,Fusing topology contexts and logical rules in language models for knowledge graph completion.,2023,"Qika Lin, Rui Mao, Jun Liu, Fangzhi Xu, Erik Cambria", Fusion 90: 253-264 ,inffus
13,Dynamic interactive multiview memory network for emotion recognition in conversation.,2023,"Jintao Wen, Dazhi Jiang, Geng Tu, Cheng Liu, Erik Cambria", Fusion 91: 123-133 ,inffus
14,Multitask learning for multilingual intent detection and slot filling in dialogue systems.,2023,"Mauajama Firdaus, Asif Ekbal, Erik Cambria", Fusion 91: 299-315 ,inffus
15,"Multimodal sentiment analysis: A systematic review of history, datasets, multimodal fusion methods, applications, challenges and future directions.",2023,"Ankita Gandhi, Kinjal Adhvaryu, Soujanya Poria, Erik Cambria, Amir Hussain", Fusion 91: 424-444 ,inffus
16,Multi-source aggregated classification for stock price movement prediction.,2023,"Yu Ma, Rui Mao, Qika Lin, Peng Wu, Erik Cambria", Fusion 91: 515-528 ,inffus
17,KnowleNet: Knowledge fusion network for multimodal sarcasm detection.,2023,"Tan Yue, Rui Mao, Heng Wang, Zonghai Hu, Erik Cambria", Fusion 100: 101921 ,inffus
18,MEGACare: Knowledge-guided multi-view hypergraph predictive framework for healthcare.,2023,"Jialun Wu, Kai He, Rui Mao, Chen Li, Erik Cambria", Fusion 100: 101939 ,inffus
19,A survey on XAI and natural language explanations.,2023,"Erik Cambria, Lorenzo Malandri, Fabio Mercorio, Mario Mezzanzanica, Navid Nobani", 60: 103111 ,ipm
20,Semantic matching in machine reading comprehension: An empirical study.,2023,"Qian Liu, Rui Mao, Xiubo Geng, Erik Cambria", 60: 103145 ,ipm
21,Gated recurrent unit with multilingual universal sentence encoder for Arabic aspect-based sentiment analysis.,2023,"Mohammad Al-Smadi, Mahmoud M. Hammad, Sa'ad A. Al-Zboon, Saja AL-Tawalbeh, Erik Cambria", 261: 107540 ,kbs
22,A semantics-aware approach for multilingual natural language inference.,2023,"Phuong Le-Hong, Erik Cambria", Evaluation 57: 611-639 ,lre
23,MiMuSA - mimicking human language understanding for fine-grained multi-class sentiment analysis.,2023,"Zhaoxia Wang, Zhenda Hu, Seng-Beng Ho, Erik Cambria, Ah-Hwee Tan", 35: 15907-15921 ,nca
24,Few pixels attacks with generative model.,2023,"Yang Li, Quan Pan, Zhaowen Feng, Erik Cambria", 144: 109849 ,pr
25,Guest Editorial Neurosymbolic AI for Sentiment Analysis.,2023,"Frank Xing, Björn W. Schuller, Iti Chaturvedi, Erik Cambria, Amir Hussain", 14: 1711-1715 ,taffco
26,Meta-Based Self-Training and Re-Weighting for Aspect-Based Sentiment Analysis.,2023,"Kai He, Rui Mao, Tieliang Gong, Chen Li, Erik Cambria", 14: 1731-1742 ,taffco
27,The Biases of Pre-Trained Language Models: An Empirical Study on Prompt-Based Sentiment Analysis and Emotion Detection.,2023,"Rui Mao, Qian Liu, Kai He, Wei Li, Erik Cambria", 14: 1743-1753 ,taffco
28,ECPEC: Emotion-Cause Pair Extraction in Conversations.,2023,"Wei Li, Yang Li, Vlad Pandelea, Mengshi Ge, Luyao Zhu, Erik Cambria", 14: 1754-1765 ,taffco
29,AutoML-Emo: Automatic Knowledge Selection Using Congruent Effect for Emotion Identification in Conversations.,2023,"Dazhi Jiang, Runguo Wei, Jintao Wen, Geng Tu, Erik Cambria", 14: 1845-1856 ,taffco
30,Ensemble Hybrid Learning Methods for Automated Depression Detection.,2023,"Luna Ansari, Shaoxiong Ji, Qian Chen, Erik Cambria", 10: 211-219 ,tcss
31,Multitask Balanced and Recalibrated Network for Medical Code Prediction.,2023,"Wei Sun, Shaoxiong Ji, Erik Cambria, Pekka Marttinen", 14: 17:1-17:20 ,tist
32,SKIER: A Symbolic Knowledge Integrated Model for Conversational Emotion Recognition.,2023,"Wei Li, Luyao Zhu, Rui Mao, Erik Cambria", AAAI 2023: 13121-13129,aaai
33,MetaPro Online: A Computational Metaphor Processing Online System.,2023,"Rui Mao, Xiao Li, Kai He, Mengshi Ge, Erik Cambria", ACL  2023: 127-135,acl
34,TECHS: Temporal Logical Graph Networks for Explainable Extrapolation Reasoning.,2023,"Qika Lin, Jun Liu, Rui Mao, Fangzhi Xu, Erik Cambria", ACL  2023: 1281-1293,acl
35,Improving Self-training for Cross-lingual Named Entity Recognition with Contrastive and Prototype Learning.,2023,"Ran Zhou, Xin Li, Lidong Bing, Erik Cambria, Chunyan Miao", ACL  2023: 4018-4031,acl
36,PAED: Zero-Shot Persona Attribute Extraction in Dialogues.,2023,"Luyao Zhu, Wei Li, Rui Mao, Vlad Pandelea, Erik Cambria", ACL  2023: 9771-9787,acl
37,Finding the Pillars of Strength for Multi-Head Attention.,2023,"Jinjie Ni, Rui Mao, Zonglin Yang, Han Lei, Erik Cambria", ACL  2023: 14526-14540,acl
38,End-to-end Case-Based Reasoning for Commonsense Knowledge Base Completion.,2023,"Zonglin Yang, Xinya Du, Erik Cambria, Claire Cardie", EACL 2023: 3491-3504,eacl
39,A Multi-task Learning Model for Gold-two-mention Co-reference Resolution.,2023,"Ruicheng Liu, Guanyi Chen, Rui Mao, Erik Cambria", IJCNN 2023: 1-8,ijcnn
40,ALLEGET Keynote Remarks: Emerging Topics in Sentiment Analysis.,2023,Erik Cambria, Intelligent Environments  2023: 51-52,intenv
41,FinXABSA: Explainable Finance through Aspect-Based Sentiment Analysis.,2023,"Keane Ong, Wihan van der Heever, Ranjan Satapathy, Gianmarco Mengaldo, Erik Cambria",02563 ,corr
42,Will Affective Computing Emerge from Foundation Models and General AI? A First Evaluation on ChatGPT.,2023,"Mostafa M. Amin, Erik Cambria, Björn W. Schuller",03186 ,corr
43,Adaptive Knowledge Distillation between Text and Speech Pre-trained Models.,2023,"Jinjie Ni, Yukun Ma, Wen Wang, Qian Chen, Dianwen Ng, Han Lei, Trung Hieu Nguyen, Chong Zhang, Bin Ma, Erik Cambria",03600 ,corr
