,Title,Year,Authors,Journal,Journal Acronym
0,Computer vision framework for crack detection of civil infrastructure - A review.,2023,"Dihao Ai, Guiyuan Jiang, Siew-Kei Lam, Peilan He, Chengwu Li", 117: 105478 ,eaai
1,Hardware-Efficient Scheme for Trailer Robot Parking by Truck Robot in an Indoor Environment with Rendezvous.,2023,"Divya Vani G, Srinivasa Rao Karumuri, Chinnaiah M. C., Siew-Kei Lam, Janardhan Narambhatlu, Sanjay Dubey", Sensors 23: 5097 ,sensors
2,Two-Level Scheduling Algorithms for Deep Neural Network Inference in Vehicular Networks.,2023,"Yalan Wu, Jigang Wu, Mianyang Yao, Bosheng Liu, Long Chen, Siew Kei Lam", 24: 9324-9343 ,tits
3,Blockchain-Based Secure Key Management for Mobile Edge Computing.,2023,"Jiaxing Li, Jigang Wu, Long Chen, Jin Li, Siew-Kei Lam", 22: 100-114 ,tmc
4,DNN Model Theft Through Trojan Side-Channel on Edge FPGA Accelerator.,2023,"Srivatsan Chandrasekar, Siew-Kei Lam, Srikanthan Thambipillai", ARC 2023: 146-158,arc
5,Multi-fold Correlation Attention Network for Predicting Traffic Speeds with Heterogeneous Frequency.,2022,"Yidan Sun, Guiyuan Jiang, Siew-Kei Lam, Peilan He, Fangxin Ning", 124: 108977 ,asc
6,ML-MMAS: Self-learning ant colony optimization for multi-criteria journey planning.,2022,"Peilan He, Guiyuan Jiang, Siew-Kei Lam, Yidan Sun", 609: 1052-1074 ,isci
7,Decoupled self-supervised label augmentation for fully-supervised image classification.,2022,"Wanshun Gao, Meiqing Wu, Siew-Kei Lam, Qihui Xia, Jianhua Zou", 235: 107605 ,kbs
8,A Multi-Scale Attributes Attention Model for Transport Mode Identification.,2022,"Guiyuan Jiang, Siew-Kei Lam, Peilan He, Changhai Ou, Dihao Ai", 23: 152-164 ,tits
9,A Unified Multi-Task Learning Architecture for Fast and Accurate Pedestrian Detection.,2022,"Chengju Zhou, Meiqing Wu, Siew-Kei Lam", 23: 982-996 ,tits
10,Learning Traffic Network Embeddings for Predicting Congestion Propagation.,2022,"Yidan Sun, Guiyuan Jiang, Siew-Kei Lam, Peilan He", 23: 11591-11604 ,tits
11,Enhanced Multi-Task Learning Architecture for Detecting Pedestrian at Far Distance.,2022,"Chengju Zhou, Meiqing Wu, Siew-Kei Lam", 23: 15588-15604 ,tits
12,Exploring Public Transport Transfer Opportunities for Pareto Search of Multicriteria Journeys.,2022,"Peilan He, Guiyuan Jiang, Siew-Kei Lam, Yidan Sun, Fangxin Ning", 23: 22895-22908 ,tits
13,Fast Semantic-Aware Motion State Detection for Visual SLAM in Dynamic Environment.,2022,"Gaurav Singh, Meiqing Wu, Do Van Minh, Siew-Kei Lam", 23: 23014-23030 ,tits
14,Reinforced Continual Learning for Graphs.,2022,"Appan Rakaraddi, Siew-Kei Lam, Mahardhika Pratama, Marcus de Carvalho", CIKM 2022: 1666-1674,cikm
