,Title,Year,Authors,Journal,Journal Acronym
0,Modular Robots for Enabling Operations in Unstructured Extreme Environments.,2022,"Mohammed E. Sayed, Jamie O. Roberts, Karen Donaldson, Stephen T. Mahon, Faiz Iqbal, Boyang Li, Santiago Franco Aixela, Georgios Mastorakis, Emil T. Jonasson, Markus P. Nemitz, Sara Bernardini, Adam A. Stokes", 4 ,aisy
1,A Novel Multispectral Line Segment Matching Method Based on Phase Congruency and Multiple Local Homographies.,2022,"Haochen Hu, Boyang Li, Wenyu Yang, Chih-Yung Wen", 14: 3857 ,remotesensing
2,UAV Path Planning for Complete Structural Inspection using Mixed Viewpoint Generation.,2022,"Ho Wang Tong, Boyang Li, Hailong Huang, Chih-Yung Wen", ICARCV 2022: 727-732,icarcv
3,Quadrotor Tail-sitter UAV Flight Log.,2022,"Bailun Jiang, Boyang Li"," IEEE DataPort, 2022 ",2529.html
4,Image-Based Visual Servoing of Rotorcrafts to Planar Visual Targets of Arbitrary Orientation.,2021,"Jianan Li, Hui Xie, Kin Huat Low, Jianwen Yong, Boyang Li", 6: 7861-7868 ,ral
5,Learning-Based Autonomous UAV System for Electrical and Mechanical (E&M) Device Inspection.,2021,"Yurong Feng, Kwaiwa Tse, Shengyang Chen, Chih-Yung Wen, Boyang Li", Sensors 21: 1385 ,sensors
6,Dynamic Object Tracking on Autonomous UAV System for Surveillance Applications.,2021,"Li-Yu Lo, Chi Hao Yiu, Yu Tang, An-Shik Yang, Boyang Li, Chih-Yung Wen", Sensors 21: 7888 ,sensors
7,Reasoning Operational Decisions for Robots via Time Series Causal Inference.,2021,"Yu Cao, Boyang Li, Qian Li, Adam A. Stokes, David M. Ingram, Aristides E. Kiprakis", ICRA 2021: 6124-6131,icra
8,A Nonlinear Model Predictive Controller for Remotely Operated Underwater Vehicles With Disturbance Rejection.,2020,"Yu Cao, Boyang Li, Qian Li, Adam A. Stokes, David M. Ingram, Aristides E. Kiprakis", IEEE Access 8: 158622-158634 ,access
9,System Identification and Control for a Tail-Sitter Unmanned Aerial Vehicle in the Cruise Flight.,2020,"Weifeng Zhou, Shengyang Chen, Ching-Wei Chang, Chih-Yung Wen, Chih-Keng Chen, Boyang Li", IEEE Access 8: 218348-218359 ,access
10,Experimental Force Data of a Restrained ROV under Waves and Current.,2020,"Roman Gabl, Thomas Davey, Yu Cao, Qian Li, Boyang Li, Kyle L. Walker, Francesco Giorgio Serchi, Simona Aracri, Aristides E. Kiprakis, Adam A. Stokes, David M. Ingram", Data 5: 57 ,data
11,An Actuator Allocation Method for a Variable-Pitch Propeller System of Quadrotor-Based UAVs.,2020,"Ching-Wei Chang, Shengyang Chen, Chih-Yung Wen, Boyang Li", Sensors 20: 5651 ,sensors
12,Model-Aided Wind Estimation Method for a Tail-Sitter Aircraft.,2020,"Jingxuan Sun, Boyang Li, Chih-Yung Wen, Chih-Keng Chen", 56: 1262-1278 ,taes
13,End-to-End UAV Simulation for Visual SLAM and Navigation.,2020,"Shengyang Chen, Han Chen, Weifeng Zhou, Chih-Yung Wen, Boyang Li",00298 ,corr
