,Title,Year,Authors,Journal,Journal Acronym
0,Learning Structural Representations for Recipe Generation and Food Retrieval.,2023,"Hao Wang, Guosheng Lin, Steven C. H. Hoi, Chunyan Miao", 45: 3363-3377 ,pami
1,DeepEMD: Differentiable Earth Mover's Distance for Few-Shot Learning.,2023,"Chi Zhang, Yujun Cai, Guosheng Lin, Chunhua Shen", 45: 5632-5648 ,pami
2,Depth and Video Segmentation Based Visual Attention for Embodied Question Answering.,2023,"Haonan Luo, Guosheng Lin, Yazhou Yao, Fayao Liu, Zichuan Liu, Zhenmin Tang", 45: 6807-6819 ,pami
3,Unsupervised 3D Pose Transfer With Cross Consistency and Dual Reconstruction.,2023,"Chaoyue Song, Jiacheng Wei, Ruibo Li, Fayao Liu, Guosheng Lin", 45: 10488-10499 ,pami
4,Contrastive Generative Network with Recursive-Loop for 3D point cloud generalized zero-shot classification.,2023,"Yun Hao, Yukun Su, Guosheng Lin, Hanjing Su, Qingyao Wu", 144: 109843 ,pr
5,Improving Tail-Class Representation with Centroid Contrastive Learning.,2023,"Anthony Meng Huat Tiong, Junnan Li, Guosheng Lin, Boyang Li, Caiming Xiong, Steven C. H. Hoi", 168: 123-130 ,prl
6,Self-Training Vision Language BERTs With a Unified Conditional Model.,2023,"Xiaofeng Yang, Fengmao Lv, Fayao Liu, Guosheng Lin", 33: 3560-3569 ,tcsv
7,Efficient Few-Shot Object Detection via Knowledge Inheritance.,2023,"Ze Yang, Chi Zhang, Ruibo Li, Yi Xu, Guosheng Lin", 32: 321-334 ,tip
8,Single-View 3D Mesh Reconstruction for Seen and Unseen Categories.,2023,"Xianghui Yang, Guosheng Lin, Luping Zhou", 32: 3746-3758 ,tip
9,Semantic Consistent Embedding for Domain Adaptive Zero-Shot Learning.,2023,"Jianyang Zhang, Guowu Yang, Ping Hu, Guosheng Lin, Fengmao Lv", 32: 4024-4035 ,tip
10,Cross-Image Region Mining With Region Prototypical Network for Weakly Supervised Segmentation.,2023,"Weide Liu, Xiangfei Kong, Tzu-Yi Hung, Guosheng Lin", 25: 1148-1160 ,tmm
11,3D Cinemagraphy from a Single Image.,2023,"Xingyi Li, Zhiguo Cao, Huiqiang Sun, Jianming Zhang, Ke Xian, Guosheng Lin", CVPR 2023: 4595-4605,cvpr
12,Neural Vector Fields: Implicit Representation by Explicit Learning.,2023,"Xianghui Yang, Guosheng Lin, Zhenghao Chen, Luping Zhou", CVPR 2023: 16727-16738,cvpr
