,Title,Year,Authors,Journal,Journal Acronym
0,Lifting 2D Human Pose to 3D with Domain Adapted 3D Body Concept.,2023,"Qiang Nie, Ziwei Liu, Yunhui Liu", 131: 1250-1268 ,ijcv
1,Semi-Supervised Domain Generalization with Stochastic StyleMatch.,2023,"Kaiyang Zhou, Chen Change Loy, Ziwei Liu", 131: 2377-2387 ,ijcv
2,Full-Spectrum Out-of-Distribution Detection.,2023,"Jingkang Yang, Kaiyang Zhou, Ziwei Liu", 131: 2607-2622 ,ijcv
3,Domain Generalization: A Survey.,2023,"Kaiyang Zhou, Ziwei Liu, Yu Qiao, Tao Xiang, Chen Change Loy", 45: 4396-4415 ,pami
4,Reference-Based Image and Video Super-Resolution via $C^{2}$-Matching.,2023,"Yuming Jiang, Kelvin C. K. Chan, Xintao Wang, Chen Change Loy, Ziwei Liu", 45: 8874-8887 ,pami
5,Variational Relational Point Completion Network for Robust 3D Classification.,2023,"Liang Pan, Xinyi Chen, Zhongang Cai, Junzhe Zhang, Haiyu Zhao, Shuai Yi, Ziwei Liu", 45: 11340-11351 ,pami
6,GP-UNIT: Generative Prior for Versatile Unsupervised Image-to-Image Translation.,2023,"Shuai Yang, Liming Jiang, Ziwei Liu, Chen Change Loy", 45: 11869-11883 ,pami
7,Computation-Efficient Knowledge Distillation via Uncertainty-Aware Mixup.,2023,"Guodong Xu, Ziwei Liu, Chen Change Loy", 138: 109338 ,pr
8,Few-shot forgery detection via Guided Adversarial Interpolation.,2023,"Haonan Qiu, Siyu Chen, Bei Gan, Kun Wang, Huafeng Shi, Jing Shao, Ziwei Liu", 144: 109863 ,pr
9,Robust Video Portrait Reenactment via Personalized Representation Quantization.,2023,"Kaisiyuan Wang, Changcheng Liang, Hang Zhou, Jiaxiang Tang, Qianyi Wu, Dongliang He, Zhibin Hong, Jingtuo Liu, Errui Ding, Ziwei Liu, Jingdong Wang", AAAI 2023: 2564-2572,aaai
10,"OmniObject3D: Large-Vocabulary 3D Object Dataset for Realistic Perception, Reconstruction and Generation.",2023,"Tong Wu, Jiarui Zhang, Xiao Fu, Yuxin Wang, Jiawei Ren, Liang Pan, Wayne Wu, Lei Yang, Jiaqi Wang, Chen Qian, Dahua Lin, Ziwei Liu", CVPR 2023: 803-814,cvpr
11,StyleSync: High-Fidelity Generalized and Personalized Lip Sync in Style-Based Generator.,2023,"Jiazhi Guan, Zhanwang Zhang, Hang Zhou, Tianshu Hu, Kaisiyuan Wang, Dongliang He, Haocheng Feng, Jingtuo Liu, Errui Ding, Ziwei Liu, Jingdong Wang", CVPR 2023: 1505-1515,cvpr
12,F2-NeRF: Fast Neural Radiance Field Training with Free Camera Trajectories.,2023,"Peng Wang, Yuan Liu, Zhaoxi Chen, Lingjie Liu, Ziwei Liu, Taku Komura, Christian Theobalt, Wenping Wang", CVPR 2023: 4150-4159,cvpr
13,Collaborative Diffusion for Multi-Modal Face Generation and Editing.,2023,"Ziqi Huang, Kelvin C. K. Chan, Yuming Jiang, Ziwei Liu", CVPR 2023: 6080-6090,cvpr
14,Panoptic Video Scene Graph Generation.,2023,"Jingkang Yang, Wenxuan Peng, Xiangtai Li, Zujin Guo, Liangyu Chen, Bo Li, Zheng Ma, Kaiyang Zhou, Wayne Zhang, Chen Change Loy, Ziwei Liu", CVPR 2023: 18675-18685,cvpr
15,LaserMix for Semi-Supervised LiDAR Semantic Segmentation.,2023,"Lingdong Kong, Jiawei Ren, Liang Pan, Ziwei Liu", CVPR 2023: 21706-21716,cvpr
16,Masked Frequency Modeling for Self-Supervised Visual Pre-Training.,2023,"Jiahao Xie, Wei Li, Xiaohang Zhan, Ziwei Liu, Yew-Soon Ong, Chen Change Loy", ICLR 2023,iclr
17,EVA3D: Compositional 3D Human Generation from 2D Image Collections.,2023,"Fangzhou Hong, Zhaoxi Chen, Yushi Lan, Liang Pan, Ziwei Liu", ICLR 2023,iclr
