,Title,Year,Authors,Journal,Journal Acronym
0,Asking Clarifying Questions: To benefit or to disturb users in Web search?,2023,"Jie Zou, Aixin Sun, Cheng Long, Mohammad Aliannejadi, Evangelos Kanoulas", 60: 103176 ,ipm
1,HRL4EC: Hierarchical reinforcement learning for multi-mode epidemic control.,2023,"Xinqi Du, Hechang Chen, Bo Yang, Cheng Long, Songwei Zhao", 640: 119065 ,isci
2,Maximum k-Biplex Search on Bipartite Graphs: A Symmetric-BK Branching Approach.,2023,"Kaiqiang Yu, Cheng Long", Data 1: 49:1-49:26 ,pacmmod
3,The RLR-Tree: A Reinforcement Learning Based R-Tree for Spatial Data.,2023,"Tu Gu, Kaiyu Feng, Gao Cong, Cheng Long, Zheng Wang, Sheng Wang", Data 1: 63:1-63:26 ,pacmmod
4,T-FSM: A Task-Based System for Massively Parallel Frequent Subgraph Pattern Mining from a Big Graph.,2023,"Lyuheng Yuan, Da Yan, Wenwen Qu, Saugat Adhikari, Jalal Khalil, Cheng Long, Xiaoling Wang", Data 1: 74:1-74:26 ,pacmmod
5,High-Dimensional Approximate Nearest Neighbor Search: with Reliable and Efficient Distance Comparison Operations.,2023,"Jianyang Gao, Cheng Long", Data 1: 137:1-137:27 ,pacmmod
6,Towards Pointsets Representation Learning via Self-Supervised Learning and Set Augmentation.,2023,"Pattaramanee Arsomngern, Cheng Long, Supasorn Suwajanakorn, Sarana Nutanong", 45: 1201-1216 ,pami
7,Towards Designing and Learning Piecewise Space-Filling Curves.,2023,"Jiangneng Li, Zheng Wang, Gao Cong, Cheng Long, Han Mao Kiah, Bin Cui", 16: 2158-2171 ,pvldb
8,Road Extraction With Satellite Images and Partial Road Maps.,2023,"Qianxiong Xu, Cheng Long, Liang Yu, Chen Zhang", 61: 1-14 ,tgrs
9,Summarizing User-item Matrix By Group Utility Maximization.,2023,"Yongjie Wang, Ke Wang, Cheng Long, Chunyan Miao", Data 17: 86:1-86:22 ,tkdd
10,On Efficient Large Maximal Biplex Discovery.,2023,"Kaiqiang Yu, Cheng Long, Deepak P, Tanmoy Chakraborty", 35: 824-829 ,tkde
11,Cost-Aware and Distance-Constrained Collective Spatial Keyword Query.,2023,"Harry Kai-Ho Chan, Shengxin Liu, Cheng Long, Raymond Chi-Wing Wong", 35: 1324-1336 ,tkde
12,Filling Delivery Time Automatically Based on Couriers' Trajectories.,2023,"Sijie Ruan, Xi Fu, Cheng Long, Zi Xiong, Jie Bao, Ruiyuan Li, Yiheng Chen, Shengnan Wu, Yu Zheng", 35: 1528-1540 ,tkde
13,k-Pleased Querying.,2023,"Zitong Chen, Ada Wai-Chee Fu, Cheng Long, Yang Wu", 35: 4003-4017 ,tkde
14,Similar Sports Play Retrieval With Deep Reinforcement Learning.,2023,"Zheng Wang, Cheng Long, Gao Cong", 35: 4253-4266 ,tkde
15,Region Embedding With Intra and Inter-View Contrastive Learning.,2023,"Liang Zhang, Cheng Long, Gao Cong", 35: 9031-9036 ,tkde
16,Single-Site Perishable Inventory Management Under Uncertainties: A Deep Reinforcement Learning Approach.,2023,"Kaixin Wang, Cheng Long, Darrell Joshua Ong, Jie Zhang, Xue-Ming Yuan", 35: 10807-10813 ,tkde
17,Deep Graph Structural Infomax.,2023,"Wenting Zhao, Gongping Xu, Zhen Cui, Siqiang Luo, Cheng Long, Tong Zhang", AAAI 2023: 4920-4928,aaai
18,Online Anomalous Subtrajectory Detection on Road Networks with Deep Reinforcement Learning.,2023,"Qianru Zhang, Zheng Wang, Cheng Long, Chao Huang, Siu-Ming Yiu, Yiding Liu, Gao Cong, Jieming Shi", ICDE 2023: 246-258,icde
