,Title,Year,Authors,Journal,Journal Acronym
0,A contrastive learning framework for Event Detection via semantic type prototype representation modelling.,2023,"Anran Hao, Anh Tuan Luu, Siu Cheung Hui, Jian Su", Neurocomputing 556: 126613 ,ijon
1,Benchmarking Graph Neural Networks.,2023,"Vijay Prakash Dwivedi, Chaitanya K. Joshi, Anh Tuan Luu, Thomas Laurent, Yoshua Bengio, Xavier Bresson", 24: 43:1-43:48 ,jmlr
2,InfoCTM: A Mutual Information Maximization Perspective of Cross-Lingual Topic Modeling.,2023,"Xiaobao Wu, Xinshuai Dong, Thong Nguyen, Chaoqun Liu, Liangming Pan, Anh Tuan Luu", AAAI 2023: 13763-13771,aaai
3,Gradient-Boosted Decision Tree for Listwise Context Model in Multimodal Review Helpfulness Prediction.,2023,"Thong Nguyen, Xiaobao Wu, Xinshuai Dong, Cong-Duy Nguyen, Zhen Hai, Lidong Bing, Anh Tuan Luu", ACL  2023: 1670-1696,acl
4,Zero-Shot Text Classification via Self-Supervised Tuning.,2023,"Chaoqun Liu, Wenxuan Zhang, Guizhen Chen, Xiaobao Wu, Anh Tuan Luu, Chip-Hong Chang, Lidong Bing", ACL  2023: 1743-1761,acl
5,Fact-Checking Complex Claims with Program-Guided Reasoning.,2023,"Liangming Pan, Xiaobao Wu, Xinyuan Lu, Anh Tuan Luu, William Yang Wang, Min-Yen Kan, Preslav Nakov", ACL  2023: 6981-7004,acl
6,Jointprop: Joint Semi-supervised Learning for Entity and Relation Extraction with Heterogeneous Graph-based Propagation.,2023,"Yandan Zheng, Anran Hao, Anh Tuan Luu", ACL  2023: 14541-14555,acl
7,Using Punctuation as an Adversarial Attack on Deep Learning-Based NLP Systems: An Empirical Study.,2023,"Brian Formento, Chuan-Sheng Foo, Anh Tuan Luu, See-Kiong Ng", EACL  2023: 1-34,eacl
8,Effective Neural Topic Modeling with Embedding Clustering Regularization.,2023,"Xiaobao Wu, Xinshuai Dong, Thong Thanh Nguyen, Anh Tuan Luu", ICML 2023: 37335-37357,icml
9,Towards Interpretable Federated Learning.,2023,"Anran Li, Rui Liu, Ming Hu, Luu Anh Tuan, Han Yu",13473 ,corr
10,InfoCTM: A Mutual Information Maximization Perspective of Cross-Lingual Topic Modeling.,2023,"Xiaobao Wu, Xinshuai Dong, Thong Nguyen, Chaoqun Liu, Liangming Pan, Anh Tuan Luu",03544 ,corr
11,Prompt as Triggers for Backdoor Attack: Examining the Vulnerability in Language Models.,2023,"Shuai Zhao, Jinming Wen, Luu Anh Tuan, Junbo Zhao, Jie Fu",01219 ,corr
12,Zero-Shot Text Classification via Self-Supervised Tuning.,2023,"Chaoqun Liu, Wenxuan Zhang, Guizhen Chen, Xiaobao Wu, Anh Tuan Luu, Chip-Hong Chang, Lidong Bing",11442 ,corr
13,Gradient-Boosted Decision Tree for Listwise Context Model in Multimodal Review Helpfulness Prediction.,2023,"Thong Nguyen, Xiaobao Wu, Xinshuai Dong, Anh Tuan Luu, Cong-Duy Nguyen, Zhen Hai, Lidong Bing",12678 ,corr
14,Fact-Checking Complex Claims with Program-Guided Reasoning.,2023,"Liangming Pan, Xiaobao Wu, Xinyuan Lu, Anh Tuan Luu, William Yang Wang, Min-Yen Kan, Preslav Nakov",12744 ,corr
15,Jointprop: Joint Semi-supervised Learning for Entity and Relation Extraction with Heterogeneous Graph-based Propagation.,2023,"Yandan Zheng, Anran Hao, Anh Tuan Luu",15872 ,corr
