,Title,Year,Authors,Journal,Journal Acronym
0,Conference Report on 2022 IEEE Symposium Series on Computational Intelligence (IEEE SSCI 2022) [Conference Reports].,2023,"Ah-Hwee Tan, Dipti Srinivasan, Chunyan Miao", 18: 6-9 ,cim
1,"Semantic Communications for Future Internet: Fundamentals, Applications, and Challenges.",2023,"Wanting Yang, Hongyang Du, Zi Qin Liew, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xuefen Chi, Xuemin Shen, Chunyan Miao", Tutorials 25: 213-250 ,comsur
2,"A Full Dive Into Realizing the Edge-Enabled Metaverse: Visions, Enabling Technologies, and Challenges.",2023,"Minrui Xu, Wei Chong Ng, Wei Yang Bryan Lim, Jiawen Kang, Zehui Xiong, Dusit Niyato, Qiang Yang, Xuemin Shen, Chunyan Miao", Tutorials 25: 656-700 ,comsur
3,A Dynamic Hierarchical Framework for IoT-Assisted Digital Twin Synchronization in the Metaverse.,2023,"Yue Han, Dusit Niyato, Cyril Leung, Dong In Kim, Kun Zhu, Shaohan Feng, Xuemin Shen, Chunyan Miao", 10: 268-284 ,iotj
4,Stochastic Coded Offloading Scheme for Unmanned-Aerial-Vehicle-Assisted Edge Computing.,2023,"Wei Chong Ng, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao, Zhu Han, Dong In Kim", 10: 5626-5643 ,iotj
5,SSD-KD: A self-supervised diverse knowledge distillation method for lightweight skin lesion classification using dermoscopic images.,2023,"Yongwei Wang, Yuheng Wang, Jiayue Cai, Tim K. Lee, Chunyan Miao, Z. Jane Wang", 84: 102693 ,mia
6,Learning Structural Representations for Recipe Generation and Food Retrieval.,2023,"Hao Wang, Guosheng Lin, Steven C. H. Hoi, Chunyan Miao", 45: 3363-3377 ,pami
7,Incorporating Surprisingly Popular Algorithm and Euclidean distance-based adaptive topology into PSO.,2023,"Xuan Wu, Jizong Han, Di Wang, Pengyue Gao, Quanlong Cui, Liang Chen, Yanchun Liang, Han Huang, Heow Pueh Lee, Chunyan Miao, You Zhou, Chunguo Wu", 76: 101222 ,swevo
8,Summarizing User-item Matrix By Group Utility Maximization.,2023,"Yongjie Wang, Ke Wang, Cheng Long, Chunyan Miao", Data 17: 86:1-86:22 ,tkdd
9,Contextualized Graph Attention Network for Recommendation With Item Knowledge Graph.,2023,"Yong Liu, Susen Yang, Yonghui Xu, Chunyan Miao, Min Wu, Juyong Zhang", 35: 181-195 ,tkde
10,Learning Hierarchical Review Graph Representations for Recommendation.,2023,"Yong Liu, Susen Yang, Yinan Zhang, Chunyan Miao, Zaiqing Nie, Juyong Zhang", 35: 658-671 ,tkde
11,Aspect-Guided Syntax Graph Learning for Explainable Recommendation.,2023,"Yidan Hu, Yong Liu, Chunyan Miao, Gongqi Lin, Yuan Miao", 35: 7768-7781 ,tkde
12,Brain-Inspired Search Engine Assistant Based on Knowledge Graph.,2023,"Xuejiao Zhao, Huanhuan Chen, Zhenchang Xing, Chunyan Miao", 34: 4386-4400 ,tnn
13,Reliable Distributed Computing for Metaverse: A Hierarchical Game-Theoretic Approach.,2023,"Yuna Jiang, Jiawen Kang, Dusit Niyato, Xiaohu Ge, Zehui Xiong, Chunyan Miao, Xuemin Shen", 72: 1084-1100 ,tvt
14,Realizing the Metaverse with Edge Intelligence: A Match Made in Heaven.,2023,"Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xianbin Cao, Chunyan Miao, Sumei Sun, Qiang Yang", 30: 64-71 ,wc
15,Multi-Aspect Explainable Inductive Relation Prediction by Sentence Transformer.,2023,"Zhixiang Su, Di Wang, Chunyan Miao, Lizhen Cui", AAAI 2023: 6533-6540,aaai
16,Improving Self-training for Cross-lingual Named Entity Recognition with Contrastive and Prototype Learning.,2023,"Ran Zhou, Xin Li, Lidong Bing, Erik Cambria, Chunyan Miao", ACL  2023: 4018-4031,acl
17,TranSG: Transformer-Based Skeleton Graph Prototype Contrastive Learning with Structure-Trajectory Prompted Reconstruction for Person Re-Identification.,2023,"Haocong Rao, Chunyan Miao", CVPR 2023: 22118-22128,cvpr
18,CMT: Cross-modal Memory Transformer for Medical Image Report Generation.,2023,"Yiming Cao, Lizhen Cui, Lei Zhang, Fuqiang Yu, Ziheng Cheng, Zhen Li, Yonghui Xu, Chunyan Miao", DASFAA  2023: 415-424,dasfaa
19,Layer-refined Graph Convolutional Networks for Recommendation.,2023,"Xin Zhou, Donghui Lin, Yong Liu, Chunyan Miao", ICDE 2023: 1247-1259,icde
20,Cross-Domain Disentangled Learning for E-Commerce Live Streaming Recommendation.,2023,"Yixin Zhang, Yong Liu, Hao Xiong, Yi Liu, Fuqiang Yu, Wei He, Yonghui Xu, Lizhen Cui, Chunyan Miao", ICDE 2023: 2955-2968,icde
21,FedDBM: Federated Digital Biomarker for Detecting Parkinson's Disease Progress.,2023,"Yiqiang Chen, Xiaodong Yang, Yuting He, Chunyan Miao, Piu Chan", ICME 2023: 678-683,icmcs
22,Bootstrap Latent Representations for Multi-modal Recommendation.,2023,"Xin Zhou, Hongyu Zhou, Yong Liu, Zhiwei Zeng, Chunyan Miao, Pengwei Wang, Yuan You, Feijun Jiang", WWW 2023: 845-854,www
23,Multi-Aspect Explainable Inductive Relation Prediction by Sentence Transformer.,2023,"Zhixiang Su, Di Wang, Chunyan Miao, Lizhen Cui",01664 ,corr
24,History-Aware Hierarchical Transformer for Multi-session Open-domain Dialogue System.,2023,"Tong Zhang, Yong Liu, Boyang Li, Zhiwei Zeng, Pengwei Wang, Yuan You, Chunyan Miao, Lizhen Cui",00907 ,corr
25,Can ChatGPT Assess Human Personalities? A General Evaluation Framework.,2023,"Haocong Rao, Cyril Leung, Chunyan Miao",01248 ,corr
26,Blockchain-Empowered Lifecycle Management for AI-Generated Content (AIGC) Products in Edge Networks.,2023,"Yinqiu Liu, Hongyang Du, Dusit Niyato, Jiawen Kang, Zehui Xiong, Chunyan Miao, Xuemin Shen, Abbas Jamalipour",02836 ,corr
27,TranSG: Transformer-Based Skeleton Graph Prototype Contrastive Learning with Structure-Trajectory Prompted Reconstruction for Person Re-Identification.,2023,"Haocong Rao, Chunyan Miao",06819 ,corr
28,StarNet: Style-Aware 3D Point Cloud Generation.,2023,"Yunfan Zhang, Hao Wang, Guosheng Lin, Vun Chan Hua Nicholas, Zhiqi Shen, Chunyan Miao",15805 ,corr
29,Improving Self-training for Cross-lingual Named Entity Recognition with Contrastive and Prototype Learning.,2023,"Ran Zhou, Xin Li, Lidong Bing, Erik Cambria, Chunyan Miao",13628 ,corr
30,Hierarchical Skeleton Meta-Prototype Contrastive Learning with Hard Skeleton Mining for Unsupervised Person Re-Identification.,2023,"Haocong Rao, Cyril Leung, Chunyan Miao",12917 ,corr
31,Flexible and Robust Counterfactual Explanations with Minimal Satisfiable Perturbations.,2023,"Yongjie Wang, Hangwei Qian, Yongjie Liu, Wei Guo, Chunyan Miao",04676 ,corr
32,Federated Learning Over Wireless Edge Networks.,2022,"Wei Yang Bryan Lim, Jer Shyuan Ng, Zehui Xiong, Dusit Niyato, Chunyan Miao", 1-150,wn
33,Heterogeneous star graph attention network for product attributes prediction.,2022,"Xuejiao Zhao, Yong Liu, Yonghui Xu, Yonghua Yang, Xusheng Luo, Chunyan Miao", Informatics 51: 101447 ,aei
34,Dynamics in Coded Edge Computing for IoT: A Fractional Evolutionary Game Approach.,2022,"Yue Han, Dusit Niyato, Cyril Leung, Chunyan Miao, Dong In Kim", 9: 13978-13994 ,iotj
35,HandGest: Hierarchical Sensing for Robust-in-the-Air Handwriting Recognition With Commodity WiFi Devices.,2022,"Jie Zhang, Yang Li, Haoyi Xiong, Dejing Dou, Chunyan Miao, Daqing Zhang", 9: 19529-19544 ,iotj
36,Hierarchical reinforcement learning with dynamic recurrent mechanism for course recommendation.,2022,"Yuanguo Lin, Fan Lin, Wenhua Zeng, Jianbing Xiahou, Li Li, Pengcheng Wu, Yong Liu, Chunyan Miao", 244: 108546 ,kbs
37,Decomposing generation networks with structure prediction for recipe generation.,2022,"Hao Wang, Guosheng Lin, Steven C. H. Hoi, Chunyan Miao", 126: 108578 ,pr
38,QueryFormer: A Tree Transformer Model for Query Plan Representation.,2022,"Yue Zhao, Gao Cong, Jiachen Shi, Chunyan Miao", 15: 1658-1670 ,pvldb
39,ABC: Attributed Bipartite Co-clustering.,2022,"Junghoon Kim, Kaiyu Feng, Gao Cong, Diwen Zhu, Wenyuan Yu, Chunyan Miao", 15: 2134-2147 ,pvldb
40,Revisiting -Reciprocal Distance Re-Ranking for Skeleton-Based Person Re-Identification.,2022,"Haocong Rao, Yuan Li, Chunyan Miao", 29: 2103-2107 ,spl
41,EEG-Based Emotion Recognition Using Regularized Graph Neural Networks.,2022,"Peixiang Zhong, Di Wang, Chunyan Miao", 13: 1290-1301 ,taffco
42,Towards Secure and Efficient Equality Conjunction Search Over Outsourced Databases.,2022,"Weipeng Lin, Ke Wang, Zhilin Zhang, Ada Wai-Chee Fu, Raymond Chi-Wing Wong, Cheng Long, Chunyan Miao", 10: 1445-1461 ,tcc
43,Auxiliary Learning for Relation Extraction.,2022,"Shengfei Lyu, Jin Cheng, Xingyu Wu, Lizhen Cui, Huanhuan Chen, Chunyan Miao", 6: 182-191 ,tetci
44,When Information Freshness Meets Service Latency in Federated Learning: A Task-Aware Incentive Scheme for Smart Industries.,2022,"Wei Yang Bryan Lim, Zehui Xiong, Jiawen Kang, Dusit Niyato, Cyril Leung, Chunyan Miao, Xuemin Shen", Informatics 18: 457-466 ,tii
45,Cross-Modal Graph With Meta Concepts for Video Captioning.,2022,"Hao Wang, Guosheng Lin, Steven C. H. Hoi, Chunyan Miao", 31: 5150-5162 ,tip
46,Federated Learning for Personalized Humor Recognition.,2022,"Xu Guo, Han Yu, Boyang Li, Hao Wang, Pengwei Xing, Siwei Feng, Zaiqing Nie, Chunyan Miao", 13: 68:1-68:18 ,tist
47,Dynamic Link Prediction for Discovery of New Impactful COVID-19 Research Approaches.,2022,"Xiangyu Wang, Yuan Li, Taiyu Ban, Jiarun Zhu, Lyuzhou Chen, Muhammad Usman, Xin Wang, Huanhuan Chen, Xiaomei Chen, Cyril Leung, Chunyan Miao", Health Informatics 26: 5883-5894 ,titb
48,Decentralized Edge Intelligence: A Dynamic Resource Allocation Framework for Hierarchical Federated Learning.,2022,"Wei Yang Bryan Lim, Jer Shyuan Ng, Zehui Xiong, Jiangming Jin, Yang Zhang, Dusit Niyato, Cyril Leung, Chunyan Miao", 33: 536-550 ,tpds
49,Reputation-Aware Hedonic Coalition Formation for Efficient Serverless Hierarchical Federated Learning.,2022,"Jer Shyuan Ng, Wei Yang Bryan Lim, Zehui Xiong, Xianbin Cao, Jiangming Jin, Dusit Niyato, Cyril Leung, Chunyan Miao", 33: 2675-2686 ,tpds
50,A Double Auction Mechanism for Resource Allocation in Coded Vehicular Edge Computing.,2022,"Jer Shyuan Ng, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Cyril Leung, Chunyan Miao", 71: 1832-1845 ,tvt
51,VRepChain: A Decentralized and Privacy-Preserving Reputation System for Social Internet of Vehicles Based on Blockchain.,2022,"Yuan Liu, Zehui Xiong, Qin Hu, Dusit Niyato, Jie Zhang, Chunyan Miao, Cyril Leung, Zhihong Tian", 71: 13242-13253 ,tvt
52,Semantic Information Market For The Metaverse: An Auction Based Approach.,2022,"Ismail Lotfi, Dusit Niyato, Sumei Sun, Dong In Kim, Melike Erol-Kantarci, Chunyan Miao", FNWF 2022: 628-633,5gwf
53,Prior-Guided Transfer Learning for Enhancing Item Representation in E-commerce.,2022,"Heng-Yi Li, Yabo Ni, Anxiang Zeng, Han Yu, Chunyan Miao", AAAI 2022: 12387-12395,aaai
54,CrowdFL: A Marketplace for Crowdsourced Federated Learning.,2022,"Daifei Feng, Cicilia Helena, Wei Yang Bryan Lim, Jer Shyuan Ng, Hongchao Jiang, Zehui Xiong, Jiawen Kang, Han Yu, Dusit Niyato, Chunyan Miao", AAAI 2022: 13164-13166,aaai
55,Dynamic Incentive Mechanism Design for COVID-19 Social Distancing.,2022,"Xuan Rong Zane Ho, Wei Yang Bryan Lim, Hongchao Jiang, Jer Shyuan Ng, Han Yu, Zehui Xiong, Dusit Niyato, Chunyan Miao", AAAI 2022: 13173-13175,aaai
56,GlobalWoZ: Globalizing MultiWoZ to Develop Multilingual Task-Oriented Dialogue Systems.,2022,"Bosheng Ding, Junjie Hu, Lidong Bing, Sharifah Mahani Aljunied, Shafiq R. Joty, Luo Si, Chunyan Miao", ACL  2022: 1639-1657,acl
57,MELM: Data Augmentation with Masked Entity Language Modeling for Low-Resource NER.,2022,"Ran Zhou, Xin Li, Ruidan He, Lidong Bing, Erik Cambria, Luo Si, Chunyan Miao", ACL  2022: 2251-2262,acl
58,Toward Knowledge-Enriched Conversational Recommendation Systems.,2022,"Tong Zhang, Yong Liu, Boyang Li, Peixiang Zhong, Chen Zhang, Hao Wang, Chunyan Miao", ConvAI@ACL 2022: 212-217,acl-convai
59,KdINet: Knowledge-driven Interpretable Network for Medical Imaging Diagnosis.,2022,"Yiming Cao, Lizhen Cui, Lei Zhang, Fuqiang Yu, Zhen Li, Yonghui Xu, Chunyan Miao", BIBM 2022: 1457-1460,bibm
60,On Inferring User Socioeconomic Status with Mobility Records.,2022,"Zheng Wang, Mingrui Liu, Cheng Long, Qianru Zhang, Jiangneng Li, Chunyan Miao", IEEE Big Data 2022: 646-655,bigdataconf
61,XIVA: An Intelligent Voice Assistant with Scalable Capabilities for Educational Metaverse.,2022,"Jun Lin, Yonghui Xu, Wei Guo, Lizhen Cui, Chunyan Miao", CICAI  2022: 559-563,cicai
62,Memory Bank Augmented Long-tail Sequential Recommendation.,2022,"Yidan Hu, Yong Liu, Chunyan Miao, Yuan Miao", CIKM 2022: 791-801,cikm
63,Diffusion-Based Graph Contrastive Learning for Recommendation with Implicit Feedback.,2022,"Lingzi Zhang, Yong Liu, Xin Zhou, Chunyan Miao, Guoxin Wang, Haihong Tang", DASFAA  2022: 232-247,dasfaa
64,Bi-level Feature Alignment for Versatile Image Translation and Manipulation.,2022,"Fangneng Zhan, Yingchen Yu, Rongliang Wu, Jiahui Zhang, Kaiwen Cui, Aoran Xiao, Shijian Lu, Chunyan Miao", ECCV  2022: 224-241,eccv
65,History-Aware Hierarchical Transformer for Multi-session Open-domain Dialogue System.,2022,"Tong Zhang, Yong Liu, Boyang Li, Zhiwei Zeng, Pengwei Wang, Yuan You, Chunyan Miao, Lizhen Cui", EMNLP  2022: 3395-3407,emnlp
66,Exploring Representation-level Augmentation for Code Search.,2022,"Haochen Li, Chunyan Miao, Cyril Leung, Yanxian Huang, Yuan Huang, Hongyu Zhang, Yanlin Wang", EMNLP 2022: 4924-4936,emnlp
67,ConNER: Consistency Training for Cross-lingual Named Entity Recognition.,2022,"Ran Zhou, Xin Li, Lidong Bing, Erik Cambria, Luo Si, Chunyan Miao", EMNLP 2022: 8438-8449,emnlp
