,Title,Year,Authors,Journal,Journal Acronym
0,Survey on AI Sustainability: Emerging Trends on Learning Algorithms and Research Challenges [Review Article].,2023,"Zhenghua Chen, Min Wu, Alvin Chan, Xiaoli Li, Yew-Soon Ong", 18: 60-77 ,cim
1,Jack and Masters of all Trades: One-Pass Learning Sets of Model Sets From Large Pre-Trained Models.,2023,"Han Xiang Choong, Yew-Soon Ong, Abhishek Gupta, Caishun Chen, Ray Lim", 18: 29-40 ,cim
2,Breaking Hardware Boundaries of IoT Devices via Inverse Feature Completion.,2023,"Yuan Gao, Yew-Soon Ong, Maoguo Gong, Fenlong Jiang, Yuanqiao Zhang, Shanfeng Wang", 10: 5519-5529 ,iotj
3,Transfer Kernel Learning for Multi-Source Transfer Gaussian Process Regression.,2023,"Pengfei Wei, Thanh Vinh Vo, Xinghua Qu, Yew Soon Ong, Zejun Ma", 45: 3862-3876 ,pami
4,Adaptive Transfer Kernel Learning for Transfer Gaussian Process Regression.,2023,"Pengfei Wei, Yiping Ke, Yew-Soon Ong, Zejun Ma", 45: 7142-7156 ,pami
5,DaisyRec 2.0: Benchmarking Recommendation for Rigorous Evaluation.,2023,"Zhu Sun, Hui Fang, Jie Yang, Xinghua Qu, Hongyang Liu, Di Yu, Yew-Soon Ong, Jie Zhang", 45: 8206-8226 ,pami
6,Heterogeneous Multi-Party Learning With Data-Driven Network Sampling.,2023,"Maoguo Gong, Yuan Gao, Yue Wu, Yuanqiao Zhang, Alex Kai Qin, Yew-Soon Ong", 45: 13328-13343 ,pami
7,Compact network embedding for fast node classification.,2023,"Xiaobo Shen, Yew-Soon Ong, Zheng Mao, Shirui Pan, Weiwei Liu, Yuhui Zheng", 136: 109236 ,pr
8,Multispace Evolutionary Search for Large-Scale Optimization With Applications to Recommender Systems.,2023,"Liang Feng, Qingxia Shang, Yaqing Hou, Kay Chen Tan, Yew-Soon Ong", 4: 107-120 ,tai
9,Multitask Neuroevolution for Reinforcement Learning With Long and Short Episodes.,2023,"Nick Zhang, Abhishek Gupta, Zefeng Chen, Yew-Soon Ong", 15: 1474-1486 ,tamd
10,Choose Appropriate Subproblems for Collaborative Modeling in Expensive Multiobjective Optimization.,2023,"Zhenkun Wang, Qingfu Zhang, Yew-Soon Ong, Shunyu Yao, Haitao Liu, Jianping Luo", 53: 483-496 ,tcyb
11,GrpAvoid: Multigroup Collision-Avoidance Control and Optimization for UAV Swarm.,2023,"Linbo Luo, Xinyu Wang, Jianfeng Ma, Yew-Soon Ong", 53: 1776-1789 ,tcyb
12,Multiparty Dual Learning.,2023,"Yuan Gao, Maoguo Gong, Yu Xie, A. Kai Qin, Ke Pan, Yew-Soon Ong", 53: 2955-2968 ,tcyb
13,Generative Multiform Bayesian Optimization.,2023,"Zhendong Guo, Haitao Liu, Yew-Soon Ong, Xinghua Qu, Yuzhe Zhang, Jianmin Zheng", 53: 4347-4360 ,tcyb
14,Scalable Transfer Evolutionary Optimization: Coping With Big Task Instances.,2023,"Mojtaba Shakeri, Erfan Miahi, Abhishek Gupta, Yew-Soon Ong", 53: 6160-6172 ,tcyb
15,Semisupervised Graph Neural Networks for Graph Classification.,2023,"Yu Xie, Yanfeng Liang, Maoguo Gong, A. Kai Qin, Yew-Soon Ong, Tiantian He", 53: 6222-6235 ,tcyb
16,Learning From Ideography and Labels: A Schema-Aware Radical-Guided Associative Model for Chinese Text Classification.,2023,"Hanqing Tao, Guanqi Zhu, Enhong Chen, Shiwei Tong, Kun Zhang, Tong Xu, Qi Liu, Yew-Soon Ong", 35: 6043-6057 ,tkde
17,Adversary Agnostic Robust Deep Reinforcement Learning.,2023,"Xinghua Qu, Abhishek Gupta, Yew-Soon Ong, Zhu Sun", 34: 6146-6157 ,tnn
18,Learning Multitask Gaussian Process Over Heterogeneous Input Domains.,2023,"Haitao Liu, Kai Wu, Yew-Soon Ong, Chao Bian, Xiaomo Jiang, Xiaofang Wang", 53: 6232-6244 ,tsmc
19,Neuroevolution of Physics-Informed Neural Nets: Benchmark Problems and Comparative Results.,2023,"Nicholas Sung, Jian Cheng Wong, Chin Chun Ooi, Abhishek Gupta, Pao-Hsiung Chiu, Yew-Soon Ong", GECCO Companion 2023: 2144-2151,gecco
20,A Generic Reinforced Explainable Framework with Knowledge Graph for Session-based Recommendation.,2023,"Huizi Wu, Hui Fang, Zhu Sun, Cong Geng, Xinyu Kong, Yew-Soon Ong", ICDE 2023: 1260-1272,icde
21,Masked Frequency Modeling for Self-Supervised Visual Pre-Training.,2023,"Jiahao Xie, Wei Li, Xiaohang Zhan, Ziwei Liu, Yew-Soon Ong, Chen Change Loy", ICLR 2023,iclr
22,LSA-PINN: Linear Boundary Connectivity Loss for Solving PDEs on Complex Geometry.,2023,"Jian Cheng Wong, Pao-Hsiung Chiu, Chinchun Ooi, My Ha Dao, Yew-Soon Ong", IJCNN 2023: 1-10,ijcnn
23,Meta-learning Enhanced Next POI Recommendation by Leveraging Check-ins from Auxiliary Cities.,2023,"Jinze Wang, Lu Zhang, Zhu Sun, Yew-Soon Ong", PAKDD  2023: 322-334,pakdd
24,Disentangling Motives behind Item Consumption and Social Connection for Mutually-enhanced Joint Prediction.,2023,"Youchen Sun, Zhu Sun, Xiao Sha, Jie Zhang, Yew Soon Ong", RecSys 2023: 613-624,recsys
25,"Towards Building Voice-based Conversational Recommender Systems: Datasets, Potential Solutions and Prospects.",2023,"Xinghua Qu, Hongyang Liu, Zhu Sun, Xiang Yin, Yew Soon Ong, Lu Lu, Zejun Ma", SIGIR 2023: 2701-2711,sigir
