,Title,Year,Authors,Journal,Journal Acronym
0,Reversing skin cancer adversarial examples by multiscale diffusive and denoising aggregation mechanism.,2023,"Yongwei Wang, Yuan Li, Zhiqi Shen, Yuhui Qiao", Medicine 164: 107310 ,cbm
1,Dynamic Multi-Objective Optimization Framework With Interactive Evolution for Sequential Recommendation.,2023,"Wei Zhou, Yong Liu, Min Li, Yu Wang, Zhiqi Shen, Liang Feng, Zexuan Zhu", 7: 1228-1241 ,tetci
2,Next POI Recommendation with Dynamic Graph and Explicit Dependency.,2023,"Feiyu Yin, Yong Liu, Zhiqi Shen, Lisi Chen, Shuo Shang, Peng Han", AAAI 2023: 4827-4834,aaai
3,MHCCL: Masked Hierarchical Cluster-Wise Contrastive Learning for Multivariate Time Series.,2023,"Qianwen Meng, Hangwei Qian, Yong Liu, Lizhen Cui, Yonghui Xu, Zhiqi Shen", AAAI 2023: 9153-9161,aaai
4,Revisiting Item Promotion in GNN-Based Collaborative Filtering: A Masked Targeted Topological Attack Perspective.,2023,"Yongwei Wang, Yong Liu, Zhiqi Shen", AAAI 2023: 15206-15214,aaai
5,A Teachable Agent to Enhance Elderly's Ikigai.,2023,"Ping Chen, Xinjia Yu, Sufang Lim, Zhiqi Shen", AAMAS 2023: 2319-2321,atal
6,Dual Graph Multitask Framework for Imbalanced Delivery Time Estimation.,2023,"Lei Zhang, Mingliang Wang, Xin Zhou, Xingyu Wu, Yiming Cao, Yonghui Xu, Lizhen Cui, Zhiqi Shen", DASFAA  2023: 606-618,dasfaa
7,Delivery Time Prediction Using Large-Scale Graph Structure Learning Based on Quantile Regression.,2023,"Lei Zhang, Xin Zhou, Zhiwei Zeng, Yiming Cao, Yonghui Xu, Mingliang Wang, Xingyu Wu, Yong Liu, Lizhen Cui, Zhiqi Shen", ICDE 2023: 3403-3416,icde
8,Federated Learning for Personalized Image Aesthetics Assessment.,2023,"Zhiwei Xiong, Han Yu, Zhiqi Shen", ICME 2023: 336-341,icmcs
9,CSP-RM: Reputation Management Decision Support for Crowdsourcing Service Providers.,2023,"Shipeng Wang, Qingzhong Li, Lizhen Cui, Yali Jiang, Zhiqi Shen, Han Yu", ICWS 2023: 161-169,icws
10,Inductive Graph Transformer for Delivery Time Estimation.,2023,"Xin Zhou, Jinglong Wang, Yong Liu, Xingyu Wu, Zhiqi Shen, Cyril Leung", WSDM 2023: 679-687,wsdm
11,Enhancing Dyadic Relations with Homogeneous Graphs for Multimodal Recommendation.,2023,"Hongyu Zhou, Xin Zhou, Zhiqi Shen",12097 ,corr
12,"A Comprehensive Survey on Multimodal Recommender Systems: Taxonomy, Evaluation, and Future Directions.",2023,"Hongyu Zhou, Xin Zhou, Zhiwei Zeng, Lingzi Zhang, Zhiqi Shen",04473 ,corr
13,Dual Graph Multitask Framework for Imbalanced Delivery Time Estimation.,2023,"Lei Zhang, Mingliang Wang, Xin Zhou, Xingyu Wu, Yiming Cao, Yonghui Xu, Lizhen Cui, Zhiqi Shen",07429 ,corr
14,Multimodal Pre-training Framework for Sequential Recommendation via Contrastive Learning.,2023,"Lingzi Zhang, Xin Zhou, Zhiqi Shen",11879 ,corr
