,Title,Year,Authors,Journal,Journal Acronym
0,Beaver Triple Generator from Multiplicatively Homomorphic Key Management Protocol.,2022,"Huafei Zhu, Wee Keong Ng", AINA  2022: 492-503,aina
1,Highly Scalable Beaver Triple Generator from Additively Homomorphic Encryption.,2022,"Huafei Zhu, Wee Keong Ng", AINA  2022: 504-514,aina
2,"Kaputa - Blockchain, Non-Fungible Token and Model Card Integrated 5G/6G Network Slice Broker and Marketplace.",2022,"Eranga Bandara, Sachin Shetty, Ravi Mukkamala, Abdul Rahman, Peter Foytik, Xueping Liang, Wee Keong Ng", MILCOM 2022: 559-564,milcom
3,Skunk - A Blockchain and Zero Trust Security Enabled Federated Learning Platform for 5G/6G Network Slicing.,2022,"Eranga Bandara, Xueping Liang, Sachin Shetty, Ravi Mukkamala, Abdul Rahman, Wee Keong Ng", SECON 2022: 109-117,secon
4,Comprehensive Performance Analysis of Homomorphic Cryptosystems for Practical Data Processing.,2022,"Vasily Sidorov, Ethan Yi Fan Wei, Wee Keong Ng",02960 ,corr
5,Promize - Blockchain and Self Sovereign Identity Empowered Mobile ATM Platform.,2021,"Eranga Bandara, Xueping Liang, Peter Foytik, Sachin Shetty, Nalin Ranasinghe, Kasun De Zoysa, Wee Keong Ng", SAI  2021: 891-911,sai
6,Protecting Big Data Privacy Using Randomized Tensor Network Decomposition and Dispersed Tensor Computation.,2021,"Jenn-Bing Ong, Wee Keong Ng, Ivan Tjuawinata, Chao Li, Jielin Yang, Sai None Myne, Huaxiong Wang, Kwok-Yan Lam, C.-C. Jay Kuo",04194 ,corr
7,Context-Aware Sliding Window for Sentiment Classification.,2020,"Muhammad Ali Masood, Rabeeh Ayaz Abbasi, Wee Keong Ng", IEEE Access 8: 4870-4884 ,access
8,Privacy-Preserving Weighted Federated Learning Within the Secret Sharing Framework.,2020,"Huafei Zhu, Rick Siow Mong Goh, Wee Keong Ng", IEEE Access 8: 198275-198284 ,access
9,Lekana - Blockchain Based Archive Storage for Large-Scale Cloud Systems.,2020,"Eranga Bandara, Xueping Liang, Sachin Shetty, Wee Keong Ng, Peter Foytik, Nalin Ranasinghe, Kasun De Zoysa, Bård Langöy, David Larsson", ICBC 2020: 169-184,icbc
10,Connect - Blockchain and Self-Sovereign Identity Empowered Contact Tracing Platform.,2020,"Eranga Bandara, Xueping Liang, Peter Foytik, Sachin Shetty, Crissie Hall, Daniel Bowden, Nalin Ranasinghe, Kasun De Zoysa, Wee Keong Ng", MobiHealth 2020: 208-223,mobihealth
11,SaaS - Microservices-Based Scalable Smart Contract Architecture.,2020,"Eranga Bandara, Xueping Liang, Peter Foytik, Sachin Shetty, Nalin Ranasinghe, Kasun De Zoysa, Wee Keong Ng", SSCC 2020: 228-243,sscc
