,Title,Year,Authors,Journal,Journal Acronym
0,"Editorial for Special Issue on Large-scale Pre-training: Data, Models, and Fine-tuning.",2023,"Ji-Rong Wen, Zi Huang, Hanwang Zhang", 20: 145-146 ,ijautcomp
1,Compositional Prompting Video-language Models to Understand Procedure in Instructional Videos.,2023,"Guyue Hu, Bin He, Hanwang Zhang", 20: 249-262 ,ijautcomp
2,Learning to Collocate Visual-Linguistic Neural Modules for Image Captioning.,2023,"Xu Yang, Hanwang Zhang, Chongyang Gao, Jianfei Cai", 131: 82-100 ,ijcv
3,Deconfounded Image Captioning: A Causal Retrospect.,2023,"Xu Yang, Hanwang Zhang, Jianfei Cai", 45: 12996-13010 ,pami
4,Counterfactual Samples Synthesizing and Training for Robust Visual Question Answering.,2023,"Long Chen, Yuhang Zheng, Yulei Niu, Hanwang Zhang, Jun Xiao", 45: 13218-13234 ,pami
5,Cross-GCN: Enhancing Graph Convolutional Network with $k$k-Order Feature Interactions.,2023,"Fuli Feng, Xiangnan He, Hanwang Zhang, Tat-Seng Chua", 35: 225-236 ,tkde
6,Causal Interventional Training for Image Recognition.,2023,"Wei Qin, Hanwang Zhang, Richang Hong, Ee-Peng Lim, Qianru Sun", 25: 1033-1044 ,tmm
7,VL-NMS: Breaking Proposal Bottlenecks in Two-stage Visual-language Matching.,2023,"Chenchi Zhang, Wenbo Ma, Jun Xiao, Hanwang Zhang, Jian Shao, Yueting Zhuang, Long Chen", 19: 166:1-166:24 ,tomccap
8,Debiased Fine-Tuning for Vision-Language Models by Prompt Regularization.,2023,"Beier Zhu, Yulei Niu, Saeil Lee, Minhoe Hur, Hanwang Zhang", AAAI 2023: 3834-3842,aaai
9,Hypothetical Training for Robust Machine Reading Comprehension of Tabular Context.,2023,"Moxin Li, Wenjie Wang, Fuli Feng, Hanwang Zhang, Qifan Wang, Tat-Seng Chua", ACL  2023: 1220-1236,acl
10,Counterfactual Active Learning for Out-of-Distribution Generalization.,2023,"Xun Deng, Wenjie Wang, Fuli Feng, Hanwang Zhang, Xiangnan He, Yong Liao", ACL  2023: 11362-11377,acl
