,Title,Year,Authors,Journal,Journal Acronym
0,Deep reinforcement learning based scheduling strategy for federated learning in sensor-cloud systems.,2023,"Tinghao Zhang, Kwok-Yan Lam, Jun Zhao", 144: 219-229 ,fgcs
1,"Correction to ""Privacy-Preserving Blockchain-Based Federated Learning for IoT Devices"".",2023,"Yang Zhao, Jun Zhao, Linshan Jiang, Rui Tan, Dusit Niyato, Zengxiang Li, Lingjuan Lyu, Yingbo Liu", 10: 973 ,iotj
2,Asynchronous Hybrid Reinforcement Learning for Latency and Reliability Optimization in the Metaverse Over Wireless Communications.,2023,"Wenhan Yu, Terence Jie Chua, Jun Zhao", 41: 2138-2157 ,jsac
3,Differentially Private Distributed Frequency Estimation.,2023,"Mengmeng Yang, Ivan Tjuawinata, Kwok-Yan Lam, Tianqing Zhu, Jun Zhao", 20: 3910-3926 ,tdsc
4,Efficient Dropout-Resilient Aggregation for Privacy-Preserving Machine Learning.,2023,"Ziyao Liu, Jiale Guo, Kwok-Yan Lam, Jun Zhao", 18: 1839-1854 ,tifs
5,Optimizing the Age of Information in RIS-Aided SWIPT Networks.,2023,"Wanting Lyu, Yue Xiu, Jun Zhao, Zhongpei Zhang", 72: 2615-2619 ,tvt
6,Reconfigurable Intelligent Surface aided Wireless Powered Mobile Edge Computing.,2023,"Yidong Lu, Jun Zhao", CCNC 2023: 501-507,ccnc
7,Multi-Agent Deep Reinforcement Learning for Digital Twin over 6G Wireless Communication in the Metaverse.,2023,"Wenhan Yu, Terence Jie Chua, Jun Zhao", INFOCOM Workshops 2023: 1-6,infocom
8,Mobile Edge Computing and AI Enabled Web3 Metaverse over 6G Wireless Communications: A Deep Reinforcement Learning Approach.,2023,"Wenhan Yu, Terence Jie Chua, Jun Zhao", VTC2023-Spring 2023: 1-5,vtc
9,UAV aided Metaverse over Wireless Communications: A Reinforcement Learning Approach.,2023,"Peiyuan Si, Wenhan Yu, Jun Zhao, Kwok-Yan Lam, Qing Yang",01474 ,corr
10,User-centric Heterogeneous-action Deep Reinforcement Learning for Virtual Reality in the Metaverse over Wireless Networks.,2023,"Wenhan Yu, Terence Jie Chua, Jun Zhao",01471 ,corr
11,Virtual Reality in Metaverse over Wireless Networks with User-centered Deep Reinforcement Learning.,2023,"Wenhan Yu, Terence Jie Chua, Jun Zhao",04349 ,corr
12,Mobile Edge Adversarial Detection for Digital Twinning to the Metaverse with Deep Reinforcement Learning.,2023,"Terence Jie Chua, Wenhan Yu, Jun Zhao",10288 ,corr
13,Play to Earn in the Metaverse with Mobile Edge Computing over Wireless Networks: A Deep Reinforcement Learning Approach.,2023,"Terence Jie Chua, Wenhan Yu, Jun Zhao",10289 ,corr
14,Detection of Uncertainty in Exceedance of Threshold (DUET): An Adversarial Patch Localizer.,2023,"Terence Jie Chua, Wenhan Yu, Jun Zhao",10291 ,corr
15,Towards Adversarially Robust Continual Learning.,2023,"Tao Bai, Chen Chen, Lingjuan Lyu, Jun Zhao, Bihan Wen",17764 ,corr
16,Human-Centric Resource Allocation in the Metaverse over Wireless Communications.,2023,"Jun Zhao, Liangxin Qian, Wenhan Yu",00355 ,corr
17,"Semantic communications, semantic edge computing, and semantic caching.",2023,"Wenhan Yu, Jun Zhao",08096 ,corr
18,Heterogeneous 360 Degree Videos in Metaverse: Differentiated Reinforcement Learning Approaches.,2023,"Wenhan Yu, Jun Zhao",04083 ,corr
19,Foreground-guided textural-focused person re-identification.,2022,"Donghaisheng Liu, Shoudong Han, Yang Chen, Chenfei Xia, Jun Zhao", Neurocomputing 483: 235-248 ,ijon
20,Adaptive Resource Allocation in SWIPT-Enabled Cognitive IoT Networks.,2022,"Wei Sun, Qingyang Song, Jun Zhao, Lei Guo, Abbas Jamalipour", 9: 535-545 ,iotj
21,"Blockchain for Edge of Things: Applications, Opportunities, and Challenges.",2022,"Thippa Reddy Gadekallu, Quoc-Viet Pham, Dinh C. Nguyen, Praveen Kumar Reddy Maddikunta, Natarajan Deepa, B. Prabadevi, Pubudu N. Pathirana, Jun Zhao, Won-Joo Hwang", 9: 964-988 ,iotj
22,Toward Efficiently Evaluating the Robustness of Deep Neural Networks in IoT Systems: A GAN-Based Method.,2022,"Tao Bai, Jun Zhao, Jinlin Zhu, Shoudong Han, Jiefeng Chen, Bo Li, Alex ChiChung Kot", 9: 1875-1884 ,iotj
23,Slicing-Based Reliable Resource Orchestration for Secure Software-Defined Edge-Cloud Computing Systems.,2022,"Jianhang Tang, Jiangtian Nie, Zehui Xiong, Jun Zhao, Yang Zhang, Dusit Niyato", 9: 2637-2648 ,iotj
24,A GCICA Grant-Free Random Access Scheme for M2M Communications in Crowded Massive MIMO Systems.,2022,"Huimei Han, Lushun Fang, Weidang Lu, Wenchao Zhai, Ying Li, Jun Zhao", 9: 6032-6046 ,iotj
25,Inconspicuous Adversarial Patches for Fooling Image-Recognition Systems on Mobile Devices.,2022,"Tao Bai, Jinqi Luo, Jun Zhao", 9: 9515-9524 ,iotj
26,Poisson kernel: Avoiding self-smoothing in graph convolutional networks.,2022,"Ziqing Yang, Shoudong Han, Jun Zhao", 124: 108443 ,pr
27,On Secure Communication in Sensor Networks Under q-Composite Key Predistribution With Unreliable Links.,2022,Jun Zhao, 70: 1085-1095 ,tcom
28,Intelligent Reflecting Surface-Assisted Bistatic Backscatter Networks: Joint Beamforming and Reflection Design.,2022,"Xiaolun Jia, Xiangyun Zhou, Dusit Niyato, Jun Zhao", 6: 799-814 ,tgcn
29,Vehicle Selection and Resource Optimization for Federated Learning in Vehicular Edge Computing.,2022,"Huizi Xiao, Jun Zhao, Qingqi Pei, Jie Feng, Lei Liu, Weisong Shi", 23: 11073-11087 ,tits
30,Secure Hot Path Crowdsourcing With Local Differential Privacy Under Fog Computing Architecture.,2022,"Mengmeng Yang, Ivan Tjuawinata, Kwok-Yan Lam, Jun Zhao, Lin Sun", 15: 2188-2201 ,tsc
31,Reconfigurable Intelligent Surface-Assisted Secure Mobile Edge Computing Networks.,2022,"Sun Mao, Lei Liu, Ning Zhang, Mianxiong Dong, Jun Zhao, Jinsong Wu, Victor C. M. Leung", 71: 6647-6660 ,tvt
32,Joint Transmit Precoding and Reflect Beamforming Design for IRS-Assisted MIMO Cognitive Radio Systems.,2022,"Weiheng Jiang, Yu Zhang, Jun Zhao, Zehui Xiong, Zhiguo Ding", 21: 3617-3631 ,twc
33,Distributed Deep Reinforcement Learning-Based Spectrum and Power Allocation for Heterogeneous Networks.,2022,"Helin Yang, Jun Zhao, Kwok-Yan Lam, Zehui Xiong, Qingqing Wu, Liang Xiao", 21: 6935-6948 ,twc
34,"Joint Node Activation, Beamforming and Phase-Shifting Control in IoT Sensor Network Assisted by Reconfigurable Intelligent Surface.",2022,"Yang Liu, Qingjiang Shi, Qingqing Wu, Jun Zhao, Ming Li", 21: 9325-9340 ,twc
35,Slicing-Based Software-Defined Mobile Edge Computing in the Air.,2022,"Jianhang Tang, Jiangtian Nie, Jun Zhao, Yi Zhou, Zehui Xiong, Mohsen Guizani", 29: 119-125 ,wc
36,Blockchain and 6G: The Future of Secure and Ubiquitous Communication.,2022,"Ali Hussain Khan, Naveed Ul Hassan, Chau Yuen, Jun Zhao, Dusit Niyato, Yan Zhang, H. Vincent Poor", 29: 194-201 ,wc
37,Detection of Uncertainty in Exceedance of Threshold (DUET): An Adversarial Patch Localizer.,2022,"Terence Jie Chua, Wenhan Yu, Chang Liu, Jun Zhao", BDCAT 2022: 11-20,bdc
38,"A Survey of Mobile Edge Computing for the Metaverse: Architectures, Applications, and Challenges.",2022,"Yitong Wang, Jun Zhao", CIC 2022: 1-9,coinco
39,Joint Scheduling and Beamforming Design in Traffic-Aware RIS Aided MEC Network.,2022,"Aichen Li, Yang Liu, Qingqing Wu, Qingjiang Shi, Jun Zhao", GLOBECOM  2022: 1646-1651,globecom
40,Resource Allocation and Resolution Control in the Metaverse with Mobile Augmented Reality.,2022,"Peiyuan Si, Jun Zhao, Huimei Han, Kwok-Yan Lam, Yang Liu", GLOBECOM 2022: 3265-3271,globecom
41,Joint Optimization of Energy Consumption and Completion Time in Federated Learning.,2022,"Xinyu Zhou, Jun Zhao, Huimei Han, Claude Guet", ICDCS 2022: 1005-1017,icdcs
42,Time Minimization in Hierarchical Federated Learning.,2022,"Chang Liu, Terence Jie Chua, Jun Zhao", SEC 2022: 96-106,ieeesec
43,Edge-Cloud Cooperation for DNN Inference via Reinforcement Learning and Supervised Learning.,2022,"Tinghao Zhang, Zhijun Li, Yongrui Chen, Kwok-Yan Lam, Jun Zhao", iThings/GreenCom/CPSCom/SmartData/Cybermatics 2022: 77-84,ithings
44,Resource Allocation for Mobile Metaverse with the Internet of Vehicles over 6G Wireless Communications: A Deep Reinforcement Learning Approach.,2022,"Terence Jie Chua, Wenhan Yu, Jun Zhao", WF-IoT 2022: 1-7,wf-iot
45,Facial Landmark Predictions with Applications to Metaverse.,2022,"Qiao Han, Jun Zhao, Kwok-Yan Lam", WF-IoT 2022: 1-6,wf-iot
46,Privacy-Preserving Aggregation in Federated Learning: A Survey.,2022,"Ziyao Liu, Jiale Guo, Wenzhuo Yang, Jiani Fan, Kwok-Yan Lam, Jun Zhao",17005 ,corr
47,Efficient Dropout-resilient Aggregation for Privacy-preserving Machine Learning.,2022,"Ziyao Liu, Jiale Guo, Kwok-Yan Lam, Jun Zhao",17044 ,corr
48,Resource Allocation for Mobile Metaverse with the Internet of Vehicles over 6G Wireless Communications: A Deep Reinforcement Learning Approach.,2022,"Terence Jie Chua, Wenhan Yu, Jun Zhao",13425 ,corr
49,Resource Allocation and Resolution Control in the Metaverse with Mobile Augmented Reality.,2022,"Peiyuan Si, Jun Zhao, Huimei Han, Kwok-Yan Lam, Yang Liu",13871 ,corr
50,"Mobile Edge Computing, Metaverse, 6G Wireless Communications, Artificial Intelligence, and Blockchain: Survey and Their Convergence.",2022,"Yitong Wang, Jun Zhao",14147 ,corr
51,Facial Landmark Predictions with Applications to Metaverse.,2022,"Qiao Han, Jun Zhao, Kwok-Yan Lam",14698 ,corr
52,Joint Optimization of Energy Consumption and Completion Time in Federated Learning.,2022,"Xinyu Zhou, Jun Zhao, Huimei Han, Claude Guet",14900 ,corr
